"Name","Large scale eval - Conflict"
"Title","Evaluating tech policy"
"Date","October 19, 2023 at 05:45 PM (GMT)"
"Duration","116:20:03"
"Participants","923"
"Participant Limit","1100"
"Total Screener Polls","10"
"Total Conversation Questions","20"


"Question ID","Question Type","Question","Responses","All(923)","O1: 18-24 (103)","O1: 25-34 (183)","O1: 35-44 (166)","O1: 45-54 (163)","O1: 55+ (308)","O2: Asian (57)","O2: Black (135)","O2: Hispanic (61)","O2: White (619)","O2: Mixed (43)","O2: Other (8)","O3: Male (443)","O3: Female (461)","O3: Other (18)","O3: Prefer not to say (1)","O4: Democrat (324)","O4: Republican (253)","O4: Independant (335)","O4: Other (11)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (9)","O5: High school or GED (449)","O5: College / Bachelors degree (332)","O5: Masters/ PhD or equivalent (133)","O6: A lot (484)","O6: A little (434)","O6: Nothing at all (5)","O7: Almost every day (135)","O7: Once or twice a week (266)","O7: Once or twice a month (205)","O7: Only once or twice ever (177)","O7: Never (138)","O7: Do not know what an AI assistant is (2)","O8: More excited than concerned (279)","O8: Equally concerned and excited (408)","O8: More concerned than excited (236)","O9: Christian - Protestant (282)","O9: Christian - Catholic (144)","O9: Christian - Mormon (8)","O9: Jewish (16)","O9: Muslim (10)","O9: Hindu (5)","O9: Other (75)","Under 34 (286)","33-54 (329)","55+ (308)","O9: None - I do not identify with any religious group or faith (383)","Initial support (613)","Initial unsure (171)","Initial not support (102)","Christian (434)","Religious - non-christian (106)","Non-religious (383)","White (619)","Black (135)","Not white or black (169)","High school or less (458)","College / Bachelors degree (332)","Masters / PhD (133)","FInal support (711)","Final unsure (110)","Final don't support (61)","O10: Yes, the public should help to decide how AI assistants answer difficult questions (717)","O10: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (206)"
"e920ffa7-fe8f-4662-a467-7f9c3cfd54fd","Poll Single Select","What is your age?","18-24","11%","100%","0%","0%","0%","0%","19%","10%","31%","9%","12%","0%","12%","10%","28%","0%","11%","8%","13%","36%","0%","0%","22%","13%","12%","3%","12%","11%","0%","14%","9%","14%","12%","7%","0%","11%","12%","10%","7%","10%","25%","6%","10%","40%","17%","36%","0%","0%","13%","12%","10%","11%","9%","16%","13%","9%","10%","21%","13%","12%","3%","12%","7%","10%","12%","10%"
"e920ffa7-fe8f-4662-a467-7f9c3cfd54fd","Poll Single Select","What is your age?","25-34","20%","0%","100%","0%","0%","0%","25%","19%","38%","17%","30%","50%","22%","18%","22%","100%","17%","15%","26%","9%","0%","0%","11%","23%","16%","20%","19%","21%","20%","21%","21%","23%","16%","16%","0%","19%","20%","21%","14%","17%","50%","13%","40%","20%","19%","64%","0%","0%","25%","18%","25%","23%","15%","20%","25%","17%","19%","32%","23%","16%","20%","20%","19%","18%","20%","18%"
"e920ffa7-fe8f-4662-a467-7f9c3cfd54fd","Poll Single Select","What is your age?","35-44","18%","0%","0%","100%","0%","0%","28%","21%","8%","17%","23%","0%","19%","17%","28%","0%","16%","14%","23%","27%","0%","0%","22%","19%","16%","19%","18%","18%","20%","19%","16%","20%","20%","17%","0%","20%","16%","18%","17%","15%","13%","19%","30%","20%","16%","0%","50%","0%","20%","19%","19%","14%","16%","18%","20%","17%","21%","18%","19%","16%","19%","18%","20%","23%","17%","23%"
"e920ffa7-fe8f-4662-a467-7f9c3cfd54fd","Poll Single Select","What is your age?","45-54","18%","0%","0%","0%","100%","0%","19%","26%","11%","16%","19%","0%","18%","18%","11%","0%","15%","20%","18%","27%","0%","0%","22%","17%","17%","20%","21%","14%","20%","21%","20%","15%","16%","14%","50%","19%","19%","13%","23%","17%","0%","13%","10%","0%","15%","0%","50%","0%","15%","19%","13%","19%","21%","13%","15%","16%","26%","15%","17%","17%","20%","18%","15%","21%","18%","15%"
"e920ffa7-fe8f-4662-a467-7f9c3cfd54fd","Poll Single Select","What is your age?","55+","33%","0%","0%","0%","0%","100%","9%","23%","11%","41%","16%","50%","30%","38%","11%","0%","40%","43%","21%","0%","0%","0%","22%","28%","39%","39%","31%","36%","40%","24%","34%","28%","35%","46%","50%","29%","33%","39%","39%","41%","13%","50%","10%","20%","33%","0%","0%","100%","27%","32%","33%","34%","39%","33%","27%","41%","23%","14%","28%","39%","39%","32%","39%","28%","33%","34%"

"Question ID","Question Type","Question","Responses","All(923)","O1: 18-24 (103)","O1: 25-34 (183)","O1: 35-44 (166)","O1: 45-54 (163)","O1: 55+ (308)","O2: Asian (57)","O2: Black (135)","O2: Hispanic (61)","O2: White (619)","O2: Mixed (43)","O2: Other (8)","O3: Male (443)","O3: Female (461)","O3: Other (18)","O3: Prefer not to say (1)","O4: Democrat (324)","O4: Republican (253)","O4: Independant (335)","O4: Other (11)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (9)","O5: High school or GED (449)","O5: College / Bachelors degree (332)","O5: Masters/ PhD or equivalent (133)","O6: A lot (484)","O6: A little (434)","O6: Nothing at all (5)","O7: Almost every day (135)","O7: Once or twice a week (266)","O7: Once or twice a month (205)","O7: Only once or twice ever (177)","O7: Never (138)","O7: Do not know what an AI assistant is (2)","O8: More excited than concerned (279)","O8: Equally concerned and excited (408)","O8: More concerned than excited (236)","O9: Christian - Protestant (282)","O9: Christian - Catholic (144)","O9: Christian - Mormon (8)","O9: Jewish (16)","O9: Muslim (10)","O9: Hindu (5)","O9: Other (75)","Under 34 (286)","33-54 (329)","55+ (308)","O9: None - I do not identify with any religious group or faith (383)","Initial support (613)","Initial unsure (171)","Initial not support (102)","Christian (434)","Religious - non-christian (106)","Non-religious (383)","White (619)","Black (135)","Not white or black (169)","High school or less (458)","College / Bachelors degree (332)","Masters / PhD (133)","FInal support (711)","Final unsure (110)","Final don't support (61)","O10: Yes, the public should help to decide how AI assistants answer difficult questions (717)","O10: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (206)"
"6909c123-4bda-4600-ba2e-305dda232963","Poll Single Select","What is your ethnicity?","Asian","6%","11%","8%","10%","7%","2%","100%","0%","0%","0%","0%","0%","8%","5%","0%","100%","5%","7%","7%","9%","0%","0%","11%","4%","9%","7%","7%","5%","0%","10%","7%","5%","7%","1%","0%","7%","6%","6%","3%","3%","0%","0%","30%","80%","12%","9%","8%","2%","7%","6%","6%","7%","3%","15%","7%","0%","0%","34%","4%","9%","7%","6%","4%","10%","6%","8%"
"6909c123-4bda-4600-ba2e-305dda232963","Poll Single Select","What is your ethnicity?","Black","15%","14%","14%","17%","21%","10%","0%","100%","0%","0%","0%","0%","14%","15%","11%","0%","20%","9%","14%","9%","0%","0%","0%","14%","17%","13%","19%","10%","20%","18%","18%","12%","12%","12%","0%","14%","13%","17%","20%","12%","13%","0%","20%","0%","27%","14%","19%","10%","10%","15%","13%","11%","17%","21%","10%","0%","100%","0%","13%","17%","13%","15%","15%","11%","15%","12%"
"6909c123-4bda-4600-ba2e-305dda232963","Poll Single Select","What is your ethnicity?","Hispanic","7%","18%","13%","3%","4%","2%","0%","0%","100%","0%","0%","0%","9%","4%","6%","0%","6%","7%","7%","9%","0%","0%","0%","8%","6%","4%","7%","6%","0%","10%","6%","7%","5%","5%","0%","7%","7%","6%","5%","13%","0%","0%","0%","0%","4%","15%","4%","2%","7%","6%","7%","9%","7%","3%","7%","0%","0%","36%","8%","6%","4%","7%","5%","8%","7%","6%"
