,Raising the minimum wage to a livable amount is important for reducing income inequality.,Higher minimum wages may lead to increased automation in industries with unskilled or low-skilled workers.,A significant increase in minimum wage may negatively affect small businesses and cause some to struggle or close.,Concerns exist about the potential for inflation and reduced benefits as a result of increasing the minimum wage.,Alternative solutions like guaranteed minimum income or higher minimum wages could be considered to address economic disparities.
215,1,1,-1,-1,1
85,-1,1,1,1,-1
33,-1,-1,-1,-1,1
14,1,-1,-1,-1,-1
55,1,1,-1,1,1
92,1,1,-1,-1,1
56,-1,1,1,1,-1
52,-1,1,1,1,1
63,1,-1,-1,-1,1
6,-1,1,1,1,-1
47,-1,-1,1,-1,1
12,-1,1,1,1,-1
110,1,1,-1,-1,1
28,1,1,1,1,1
15,1,1,-1,-1,1
96,-1,1,1,1,-1
5989,1,1,-1,-1,1
