,"Existing technologies, such as renewable energy, electric vehicles, and heat pumps, can aid in the transition from fossil fuels and reduce global warming.","Technological breakthroughs, in areas like space travel or atmospheric manipulation, are essential for fully addressing global warming.",Government regulation and involvement play a crucial role in addressing climate change and transitioning away from harmful practices.,"Individual and collective actions, such as adopting sustainable lifestyles, reducing meat consumption, and using public transport, contribute to combating global warming.","Systemic transformations in economic structures, decentralizing power, and building stronger community connections are required to address global warming and change the way we think."
9190153,Yes,No,Yes,No,No
92947608,Yes,No,Yes,No,No
28634333,No,No,No,No,No
28312389,No,No,No,No,No
91782895,No,No,No,No,No
61145487,No,No,Yes,No,No
30520126,No,Yes,No,No,No
61489654,Yes,Yes,Yes,Yes,No
95362406,No,Yes,No,No,No
29257320,No,No,No,Yes,No
37286383,Yes,Yes,No,Yes,No
20928113,No,No,No,No,No
76748472,Yes,No,Yes,Yes,Yes
65022757,No,No,Yes,No,No
49466974,No,No,Yes,Yes,Yes
95482972,No,No,No,No,Yes
