modes,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree
comments,"In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes.",Legal tax avoidance by multinationals must be addressed as a matter of priority. This revenue could ensure wealth was paying its fair share.,"Consideration of the ""fairness"" of tax needs to include the full tax and transfer system - that is why we have benefits and WFF.","Company income tax is only 16% of the total tax take. Changes should be made to increase this, particularly from multi-national companies",All taxes should be structured so the more you earn the more you pay. No tax should be regressive like GST.,Our income tax is some of the lowest in the OECD and this has lead to under-funding of services needed by low income families.,Create a directory of foreign owned trusts to prevent the $1.35bn of money laundered in NZ each year http://bit.ly/transparencyNZ,Taxes should be used to prevent inflation and inequality,The government should work much harder to reel in the estimated $2bn of tax fraud each year. http://bit.ly/taxfraud2014,"Reduce income tax to 10% flat and increase GST, taxing on consumption is fairer and also taxes under the table and black market economy."
agents,,,,,,,,,,
"(72, (72,))",1,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
"(83, (77,))",DISAGREE,1,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
"(149, (88,))",DISAGREE,AGREE,1,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
"(266, (123,))",DISAGREE,AGREE,AGREE,1,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
"(83, (78,))",DISAGREE,AGREE,AGREE,AGREE,1,AGREE,AGREE,AGREE,AGREE,DISAGREE
"(18, (44,))",DISAGREE,AGREE,AGREE,AGREE,AGREE,1,AGREE,AGREE,AGREE,DISAGREE
"(21, (110,))",DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,1,AGREE,AGREE,DISAGREE
"(72, (71,))",DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,1,AGREE,DISAGREE
"(21, (108,))",DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,1,DISAGREE
"(74, (74,))",DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,1
