"Name","CD1 - vax [pretest]"
"Title","Technology Policy"
"Date","September 20, 2023 at 09:00 PM (GMT)"
"Duration","17:44:46"
"Participants","54"
"Participant Limit","100"
"Total Screener Polls","10"
"Total Conversation Questions","12"


"Question ID","Question Type","Question","Responses","All(54)","O1: 18-24 (12)","O1: 25-34 (20)","O1: 33-44 (10)","O1: 45-54 (10)","O1: 55+ (2)","O2: Asian (8)","O2: Black (8)","O2: Hispanic (5)","O2: White (28)","O2: Mixed (4)","O2: Other (1)","O3: Male (21)","O3: Female (32)","O3: Other (1)","O3: Prefer not to say (0)","O4: Democrat (23)","O4: Republican (7)","O4: Independant (18)","O4: Other (6)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (19)","O5: College / Bachelors degree (28)","O5: Masters/ PhD or equivalent (7)","O6: A lot (21)","O6: A little (33)","O6: Nothing at all (0)","O7: Almost every day (6)","O7: Once or twice a week (9)","O7: Once or twice a month (5)","O7: Only once or twice ever (15)","O7: Never (19)","O7: Do not know what an AI assistant is (0)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (43)","O8: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (11)","O10: More excitedthan concerned (11)","O10: Equally concerned and excited (27)","O10: More concerned than excited (16)","O11: Christian - Protestant (14)","O11: Christian - Catholic (9)","Religious (32)","Not religious (22)","White (28)","Not white (26)","Under 34 (32)","33-54 (20)","55+ (2)","AI belief change (pess -> opt) (5)","O11: Christian - Mormon (0)","O11: Jewish (1)","O11: Muslim (1)","O11: Hindu (0)","O11: Other (7)","O11: None - I do not identify with any religious group or faith (22)"
"d74bd378-8cdd-43b4-8433-a21fccd77670","Poll Single Select","What is your age?","18-24","22%","100%","0%","0%","0%","0%","38%","38%","20%","18%","0%","0%","29%","19%","0%","0%","26%","29%","17%","17%","0%","0%","0%","16%","32%","0%","24%","21%","0%","17%","22%","40%","20%","21%","0%","16%","45%","18%","26%","19%","29%","22%","25%","18%","18%","27%","38%","0%","0%","20%","0%","0%","0%","0%","29%","18%"
"d74bd378-8cdd-43b4-8433-a21fccd77670","Poll Single Select","What is your age?","25-34","37%","0%","100%","0%","0%","0%","38%","50%","40%","25%","100%","0%","52%","28%","0%","0%","48%","14%","33%","33%","0%","0%","0%","42%","25%","71%","38%","36%","0%","33%","44%","20%","47%","32%","0%","40%","27%","36%","41%","31%","36%","33%","34%","41%","25%","50%","63%","0%","0%","40%","0%","0%","100%","0%","29%","41%"
"d74bd378-8cdd-43b4-8433-a21fccd77670","Poll Single Select","What is your age?","33-44","19%","0%","0%","100%","0%","0%","13%","0%","20%","29%","0%","0%","14%","19%","100%","0%","13%","29%","22%","17%","0%","0%","0%","11%","25%","14%","10%","24%","0%","0%","33%","40%","13%","16%","0%","23%","0%","36%","15%","13%","7%","11%","9%","32%","29%","8%","0%","50%","0%","0%","0%","100%","0%","0%","0%","32%"
"d74bd378-8cdd-43b4-8433-a21fccd77670","Poll Single Select","What is your age?","45-54","19%","0%","0%","0%","100%","0%","13%","13%","20%","21%","0%","100%","5%","28%","0%","0%","9%","29%","22%","33%","0%","0%","0%","32%","14%","0%","24%","15%","0%","50%","0%","0%","13%","26%","0%","16%","27%","9%","15%","31%","21%","33%","28%","5%","21%","15%","0%","50%","0%","40%","0%","0%","0%","0%","43%","5%"
"d74bd378-8cdd-43b4-8433-a21fccd77670","Poll Single Select","What is your age?","55+","4%","0%","0%","0%","0%","100%","0%","0%","0%","7%","0%","0%","0%","6%","0%","0%","4%","0%","6%","0%","0%","0%","0%","0%","4%","14%","5%","3%","0%","0%","0%","0%","7%","5%","0%","5%","0%","0%","4%","6%","7%","0%","3%","5%","7%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","5%"

"Question ID","Question Type","Question","Responses","All(54)","O1: 18-24 (12)","O1: 25-34 (20)","O1: 33-44 (10)","O1: 45-54 (10)","O1: 55+ (2)","O2: Asian (8)","O2: Black (8)","O2: Hispanic (5)","O2: White (28)","O2: Mixed (4)","O2: Other (1)","O3: Male (21)","O3: Female (32)","O3: Other (1)","O3: Prefer not to say (0)","O4: Democrat (23)","O4: Republican (7)","O4: Independant (18)","O4: Other (6)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (19)","O5: College / Bachelors degree (28)","O5: Masters/ PhD or equivalent (7)","O6: A lot (21)","O6: A little (33)","O6: Nothing at all (0)","O7: Almost every day (6)","O7: Once or twice a week (9)","O7: Once or twice a month (5)","O7: Only once or twice ever (15)","O7: Never (19)","O7: Do not know what an AI assistant is (0)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (43)","O8: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (11)","O10: More excitedthan concerned (11)","O10: Equally concerned and excited (27)","O10: More concerned than excited (16)","O11: Christian - Protestant (14)","O11: Christian - Catholic (9)","Religious (32)","Not religious (22)","White (28)","Not white (26)","Under 34 (32)","33-54 (20)","55+ (2)","AI belief change (pess -> opt) (5)","O11: Christian - Mormon (0)","O11: Jewish (1)","O11: Muslim (1)","O11: Hindu (0)","O11: Other (7)","O11: None - I do not identify with any religious group or faith (22)"
"2402da7d-c36c-44d5-8059-efae7663ba48","Poll Single Select","What is your ethnicity?","Asian","15%","25%","15%","10%","10%","0%","100%","0%","0%","0%","0%","0%","5%","22%","0%","0%","17%","0%","22%","0%","0%","0%","0%","0%","21%","29%","10%","18%","0%","0%","33%","20%","13%","11%","0%","12%","27%","0%","19%","19%","21%","0%","16%","14%","0%","31%","19%","10%","0%","40%","0%","0%","100%","0%","14%","14%"
"2402da7d-c36c-44d5-8059-efae7663ba48","Poll Single Select","What is your ethnicity?","Black","15%","25%","20%","0%","10%","0%","0%","100%","0%","0%","0%","0%","29%","6%","0%","0%","22%","14%","6%","17%","0%","0%","0%","16%","11%","29%","29%","6%","0%","67%","22%","20%","0%","5%","0%","14%","18%","9%","22%","6%","29%","11%","19%","9%","0%","31%","22%","5%","0%","20%","0%","0%","0%","0%","14%","9%"
"2402da7d-c36c-44d5-8059-efae7663ba48","Poll Single Select","What is your ethnicity?","Hispanic","9%","8%","10%","10%","10%","0%","0%","0%","100%","0%","0%","0%","10%","9%","0%","0%","9%","0%","11%","17%","0%","0%","0%","16%","7%","0%","0%","15%","0%","0%","11%","0%","7%","16%","0%","12%","0%","0%","11%","13%","14%","22%","13%","5%","0%","19%","9%","10%","0%","0%","0%","0%","0%","0%","0%","5%"
