,Increasing the minimum wage can help address income inequality and provide a more livable wage for workers.,Raising the minimum wage could negatively impact small businesses that struggle to pay higher wages.,"A higher minimum wage may lead to higher prices and inflation, affecting other income earners.",Higher minimum wages might accelerate the adoption of automation and robotics in industries with low-skilled workers.,"Alternatives to raising minimum wage, like a guaranteed minimum income, should be considered as a solution to income equality."
215,AGREE,DISAGREE,DISAGREE,AGREE,AGREE
85,DISAGREE,AGREE,AGREE,AGREE,AGREE
33,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
14,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,AGREE,DISAGREE,AGREE,AGREE,AGREE
56,DISAGREE,AGREE,AGREE,AGREE,AGREE
52,DISAGREE,AGREE,AGREE,AGREE,AGREE
63,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
6,DISAGREE,AGREE,AGREE,AGREE,AGREE
47,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
12,DISAGREE,AGREE,AGREE,AGREE,AGREE
110,AGREE,AGREE,DISAGREE,AGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,AGREE,DISAGREE,DISAGREE,AGREE,AGREE
96,DISAGREE,AGREE,AGREE,AGREE,AGREE
5989,AGREE,DISAGREE,DISAGREE,AGREE,AGREE
