,Raising the minimum wage to a livable wage could lead to both positive and negative effects on small businesses.,Increasing the minimum wage may accelerate automation in industries with unskilled or low-skilled workers.,"Addressing income inequality is crucial, and raising the minimum wage is one possible solution, though it may not be perfect.","Implementing a higher minimum wage might have indirect consequences on the economy, such as inflation and changes in benefits.",An alternative approach to consider is a guaranteed minimum income for everyone.
215,1,1,1,1,1
85,1,1,-1,1,-1
33,-1,1,-1,1,1
14,1,-1,1,1,-1
55,1,1,1,1,1
92,1,1,1,1,1
56,1,1,1,1,1
52,1,1,-1,1,1
63,1,-1,1,-1,-1
6,1,1,-1,1,-1
47,1,-1,-1,-1,-1
12,1,1,-1,1,-1
110,1,1,1,1,1
28,1,1,1,1,1
15,1,1,1,1,1
96,1,1,-1,1,-1
5989,1,-1,1,1,1
