,Raising the minimum wage to a livable wage could lead to both positive and negative effects on small businesses.,Increasing the minimum wage may accelerate automation in industries with unskilled or low-skilled workers.,"Addressing income inequality is crucial, and raising the minimum wage is one possible solution, though it may not be perfect.","Implementing a higher minimum wage might have indirect consequences on the economy, such as inflation and changes in benefits.",An alternative approach to consider is a guaranteed minimum income for everyone.
215,AGREE,AGREE,AGREE,AGREE,AGREE
85,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
33,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
14,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,AGREE,AGREE,AGREE,AGREE,AGREE
56,AGREE,AGREE,AGREE,AGREE,AGREE
52,AGREE,AGREE,DISAGREE,AGREE,AGREE
63,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
6,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
47,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
12,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
110,AGREE,AGREE,AGREE,AGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,AGREE,AGREE,AGREE,AGREE,AGREE
96,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
5989,AGREE,DISAGREE,AGREE,AGREE,AGREE
