,Increasing the minimum wage to a livable wage is a positive step for addressing income inequality.,Raising the minimum wage might have negative consequences for small businesses and job opportunities.,Alternative solutions like guaranteed minimum income should be considered.,Higher minimum wages could lead to increased automation and possible job loss in industries with unskilled or low-skilled workers.,The policy of raising the minimum wage may not be entirely fair for all groups in society.
215,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
85,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
33,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
14,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
55,AGREE,DISAGREE,AGREE,AGREE,AGREE
92,AGREE,DISAGREE,AGREE,AGREE,AGREE
56,DISAGREE,AGREE,AGREE,AGREE,AGREE
52,DISAGREE,AGREE,AGREE,AGREE,AGREE
63,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
6,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
47,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE
12,DISAGREE,AGREE,AGREE,AGREE,AGREE
110,AGREE,DISAGREE,AGREE,AGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
96,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
5989,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
