,id,prompt_type,prompt template,model,subject,agent_opinion_list,prompt,response,full_response,STEP 1,STEP 2,STEP 3,STEP 4,time,query_type,comment
0,0,basic_explain_common_ground,"Below is a list of people with various opinions on a topic. Follow the following steps: 
            1. Determine what topic they are discussing. What are the key axes of disagreement here?
            2. For each person, give them a number and write down what their main beliefs are, and how they compare to the crowd. 
            3. Reflect on which opinions are commonly held and which opinions are less commonly held. Where might people find common ground? 
            4. Write a single specific statement that the most possible people would agree with. You should try to find common ground among the different opinions. But also, the statement you generate should not be wishy-washy: it should represent a single specific viewpoint on the topic. It should sound like an opinionated statement one of the people in the list would make.
{agent_opinion_list}
This concludes the list of people, now start following the steps. Your output should be a Python dictionary with key-val pairs:{{""STEP 1"": """"""<writing for step 1>"""""", ""STEP 2"": """"""<writing for step 2>"""""", ""STEP 3"":, """"""<writing for step 3>"""""", ""STEP 4"": """"""<writing for step 4>"""""".}} Output only the Python dict and nothing else.",gpt-4-0314,basic_explain_common_ground,"- Person who believes the following 1 things: (1) This is cool! I say hike it up to $20 
- Person who believes the following 1 things: (1) $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair. 
- Person who believes the following 1 things: (1) Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing. 
- Person who believes the following 1 things: (1) Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear. 
- Person who believes the following 1 things: (1) I agree. The small business will need to make poverty fashionable 
- Person who believes the following 1 things: (1) This is something that will impact SMB who cannot afford paying 15$/hour wage 
- Person who believes the following 1 things: (1) It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers. 
- Person who believes the following 1 things: (1) Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg. 
- Person who believes the following 1 things: (1) Good move. Will boost econy here 
- Person who believes the following 1 things: (1) Guaranteed minimum income! Remove all the specific programs! 
- Person who believes the following 1 things: (1) Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge. 
- Person who believes the following 1 things: (1) It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it? 
- Person who believes the following 1 things: (1) It's so high that it will definitely cost some needy people their jobs. 
- Person who believes the following 1 things: (1) Something needs to be done to address income inequality and this is a good if imperfect start 
- Person who believes the following 1 things: (1) the minimum wage should $25 per hour 
- Person who believes the following 1 things: (1) One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."" 
- Person who believes the following 1 things: (1) This will cause small businesses to go out of business. ","Below is a list of people with various opinions on a topic. Follow the following steps: 
            1. Determine what topic they are discussing. What are the key axes of disagreement here?
            2. For each person, give them a number and write down what their main beliefs are, and how they compare to the crowd. 
            3. Reflect on which opinions are commonly held and which opinions are less commonly held. Where might people find common ground? 
            4. Write a single specific statement that the most possible people would agree with. You should try to find common ground among the different opinions. But also, the statement you generate should not be wishy-washy: it should represent a single specific viewpoint on the topic. It should sound like an opinionated statement one of the people in the list would make.
- Person who believes the following 1 things: (1) This is cool! I say hike it up to $20 
- Person who believes the following 1 things: (1) $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair. 
- Person who believes the following 1 things: (1) Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing. 
- Person who believes the following 1 things: (1) Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear. 
- Person who believes the following 1 things: (1) I agree. The small business will need to make poverty fashionable 
- Person who believes the following 1 things: (1) This is something that will impact SMB who cannot afford paying 15$/hour wage 
- Person who believes the following 1 things: (1) It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers. 
- Person who believes the following 1 things: (1) Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg. 
- Person who believes the following 1 things: (1) Good move. Will boost econy here 
- Person who believes the following 1 things: (1) Guaranteed minimum income! Remove all the specific programs! 
- Person who believes the following 1 things: (1) Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge. 
- Person who believes the following 1 things: (1) It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it? 
- Person who believes the following 1 things: (1) It's so high that it will definitely cost some needy people their jobs. 
- Person who believes the following 1 things: (1) Something needs to be done to address income inequality and this is a good if imperfect start 
- Person who believes the following 1 things: (1) the minimum wage should $25 per hour 
- Person who believes the following 1 things: (1) One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."" 
- Person who believes the following 1 things: (1) This will cause small businesses to go out of business. 
This concludes the list of people, now start following the steps. Your output should be a Python dictionary with key-val pairs:{""STEP 1"": """"""<writing for step 1>"""""", ""STEP 2"": """"""<writing for step 2>"""""", ""STEP 3"":, """"""<writing for step 3>"""""", ""STEP 4"": """"""<writing for step 4>"""""".} Output only the Python dict and nothing else.","Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.","{""STEP 1"": ""The topic being discussed is the concept and implementation of raising the minimum wage to $15 per hour. The key axes of disagreement include the impact on small businesses, inflation, automation, income inequality, and potential negative consequences for employees."",
 ""STEP 2"": ""1. Believes in raising the minimum wage to $20 instead of $15. 2. Thinks raising the minimum wage to $15 will lead to inflation and is unfair for higher-income populations. 3. Believes minimum wage increases will lead to unionized robots, which is a positive outcome. 4. Thinks raising the minimum wage will harm small businesses and lead to their closure. 5. Sarcastically agrees that small businesses will need to make poverty fashionable to survive. 6. Thinks the $15/hour wage will negatively affect small and medium-sized businesses. 7. Believes the higher minimum wage will lead to increased adoption of robotics in industries with unskilled workers. 8. Sees the $15 minimum wage as a temporary solution for a systemic problem. 9. Thinks raising the minimum wage is a good move and will boost the economy. 10. Supports guaranteed minimum income and removing specific programs. 11. Believes all businesses should pay a livable wage and not be subsidized by inadequate wages. 12. Questions if benefits may be lost with higher wages and if it's worth it. 13. Thinks such a high minimum wage will lead to job loss for some needy individuals. 14. Supports the $15 minimum wage as the right step toward addressing income inequality, despite being imperfect. 15. Thinks the minimum wage should be $25 per hour. 16. Sees the $15 minimum wage as a step toward basic minimum income as a necessity in the future. 17. Thinks raising the minimum wage will cause small businesses to close."",
 ""STEP 3"": ""Commonly held opinions include concerns about small business closures, addressing income inequality, and the potential loss of jobs due to higher wages. Less commonly held opinions are about inflation, robots and unionization, and the idea of a higher minimum wage, such as $20 or $25 per hour. Common ground may be found in supporting livable wages for workers, finding a balance that allows small businesses to survive, and agreeing that addressing income inequality is important."",
 ""STEP 4"": ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""}","The topic being discussed is the concept and implementation of raising the minimum wage to $15 per hour. The key axes of disagreement include the impact on small businesses, inflation, automation, income inequality, and potential negative consequences for employees.","1. Believes in raising the minimum wage to $20 instead of $15. 2. Thinks raising the minimum wage to $15 will lead to inflation and is unfair for higher-income populations. 3. Believes minimum wage increases will lead to unionized robots, which is a positive outcome. 4. Thinks raising the minimum wage will harm small businesses and lead to their closure. 5. Sarcastically agrees that small businesses will need to make poverty fashionable to survive. 6. Thinks the $15/hour wage will negatively affect small and medium-sized businesses. 7. Believes the higher minimum wage will lead to increased adoption of robotics in industries with unskilled workers. 8. Sees the $15 minimum wage as a temporary solution for a systemic problem. 9. Thinks raising the minimum wage is a good move and will boost the economy. 10. Supports guaranteed minimum income and removing specific programs. 11. Believes all businesses should pay a livable wage and not be subsidized by inadequate wages. 12. Questions if benefits may be lost with higher wages and if it's worth it. 13. Thinks such a high minimum wage will lead to job loss for some needy individuals. 14. Supports the $15 minimum wage as the right step toward addressing income inequality, despite being imperfect. 15. Thinks the minimum wage should be $25 per hour. 16. Sees the $15 minimum wage as a step toward basic minimum income as a necessity in the future. 17. Thinks raising the minimum wage will cause small businesses to close.","Commonly held opinions include concerns about small business closures, addressing income inequality, and the potential loss of jobs due to higher wages. Less commonly held opinions are about inflation, robots and unionization, and the idea of a higher minimum wage, such as $20 or $25 per hour. Common ground may be found in supporting livable wages for workers, finding a balance that allows small businesses to survive, and agreeing that addressing income inequality is important.","Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.",2023-09-13-11:05:22,query1,
1,215,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:24,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
2,85,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers."" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:25,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
3,33,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg."" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,DISAGREE,,,,,2023-09-13-11:05:26,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
4,14,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Good move. Will boost econy here"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Good move. Will boost econy here"" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:27,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
5,55,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Something needs to be done to address income inequality and this is a good if imperfect start"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Something needs to be done to address income inequality and this is a good if imperfect start"" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:28,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
6,92,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."""" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."""" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:29,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
7,56,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- This is something that will impact SMB who cannot afford paying 15$/hour wage"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- This is something that will impact SMB who cannot afford paying 15$/hour wage"" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:30,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
8,52,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- It's so high that it will definitely cost some needy people their jobs."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- It's so high that it will definitely cost some needy people their jobs."" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:32,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
9,63,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- This is cool! I say hike it up to $20"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- This is cool! I say hike it up to $20"" Would they agree with this: ""Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,,,,,2023-09-13-11:05:34,query2,"Raising the minimum wage is a crucial step in addressing income inequality and ensuring employees receive a livable wage, but the increase should be gradual and consider the potential impacts on small businesses and the adoption of automation in industries with unskilled workers."
