,Raising the minimum wage may have negative consequences on small businesses and cause some to go out of business.,The adoption of robotics and automation in industries may be accelerated as a result of raising the minimum wage.,Addressing income inequality is crucial and increasing the minimum wage is a step towards addressing this problem.,A basic minimum income could be a possible alternative to increasing the minimum wage.,"Some people believe the minimum wage should be even higher, such as $20 or $25 per hour."
215,-1,1,1,1,1
85,1,1,-1,1,-1
33,1,-1,-1,-1,-1
14,-1,1,-1,1,-1
55,1,-1,1,1,1
92,-1,1,1,1,1
56,1,1,-1,1,-1
52,1,1,-1,1,-1
63,-1,1,1,-1,1
6,1,1,-1,1,-1
47,1,-1,-1,1,-1
12,1,1,-1,1,-1
110,1,1,1,1,-1
28,1,1,1,1,1
15,-1,1,1,-1,1
96,1,1,-1,1,-1
5989,-1,1,1,1,1
