,Raising the minimum wage may have negative consequences on small businesses and cause some to go out of business.,The adoption of robotics and automation in industries may be accelerated as a result of raising the minimum wage.,Addressing income inequality is crucial and increasing the minimum wage is a step towards addressing this problem.,A basic minimum income could be a possible alternative to increasing the minimum wage.,"Some people believe the minimum wage should be even higher, such as $20 or $25 per hour."
215,DISAGREE,AGREE,AGREE,AGREE,AGREE
85,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
33,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
14,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
55,AGREE,DISAGREE,AGREE,AGREE,AGREE
92,DISAGREE,AGREE,AGREE,AGREE,AGREE
56,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
52,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
63,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
6,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
47,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
12,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
110,AGREE,AGREE,AGREE,AGREE,DISAGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
96,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
5989,DISAGREE,AGREE,AGREE,AGREE,AGREE
