,A higher minimum wage could negatively impact small businesses and make it harder for them to survive.,Increasing the minimum wage may speed up the adoption of automation and robotics in industries with low-skilled or unskilled workers.,Raising the minimum wage could help address income inequality and be a step towards a basic minimum income.,"A higher minimum wage may lead to inflation and other potential negative consequences, such as benefits being cut.","More drastic changes, such as a $20-$25 minimum wage or a guaranteed minimum income, may be necessary to effectively address income inequality and poverty."
215,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
85,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
33,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE
14,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
55,DISAGREE,AGREE,AGREE,AGREE,AGREE
92,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
56,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
52,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
63,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
6,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
47,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
12,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
110,DISAGREE,DISAGREE,AGREE,AGREE,AGREE
28,DISAGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
96,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
5989,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
