,A higher minimum wage can address income inequality and is a step towards a world with basic income.,Some small businesses may struggle to survive with a higher minimum wage.,A higher minimum wage may lead to job loss and inflation.,The higher minimum wage may accelerate the transition to robotics and automation.,"There are mixed opinions on the specific amount for minimum wage, but most people agree that it should be increased."
215,AGREE,DISAGREE,DISAGREE,AGREE,AGREE
85,DISAGREE,AGREE,AGREE,AGREE,AGREE
33,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
14,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,AGREE,AGREE,AGREE,AGREE,AGREE
56,DISAGREE,AGREE,AGREE,AGREE,AGREE
52,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
63,AGREE,DISAGREE,AGREE,AGREE,AGREE
6,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
47,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE
12,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
110,AGREE,AGREE,AGREE,AGREE,DISAGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,AGREE,DISAGREE,DISAGREE,AGREE,AGREE
96,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
5989,AGREE,AGREE,DISAGREE,AGREE,AGREE
