,A higher minimum wage can address income inequality and is a step towards a world with basic income.,Some small businesses may struggle to survive with a higher minimum wage.,A higher minimum wage may lead to job loss and inflation.,The higher minimum wage may accelerate the transition to robotics and automation.,"There are mixed opinions on the specific amount for minimum wage, but most people agree that it should be increased."
215,1,-1,-1,1,1
85,-1,1,1,1,1
33,-1,1,1,1,-1
14,1,-1,-1,-1,1
55,1,1,1,1,1
92,1,1,1,1,1
56,-1,1,1,1,1
52,-1,1,1,1,-1
63,1,-1,1,1,1
6,-1,1,1,1,-1
47,-1,1,-1,-1,-1
12,-1,1,1,1,-1
110,1,1,1,1,-1
28,1,1,1,1,1
15,1,-1,-1,1,1
96,-1,1,1,1,-1
5989,1,1,-1,1,1
