,A higher minimum wage might negatively impact small businesses that cannot afford to pay their workers more.,"Some believe that raising the minimum wage to $15/hour isn't enough and should be increased further, such as $20 or even $25/hour.",There's a concern that the implementation of a higher minimum wage may result in increased automation and job loss.,Raising the minimum wage is seen as a step towards addressing income inequality and creating a fairer society.,"The effectiveness of a higher minimum wage in tackling the root of the problem is questioned, and alternative solutions like a guaranteed minimum income might be considered instead."
215,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
85,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
33,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
14,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,AGREE,AGREE,AGREE,AGREE,AGREE
56,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
52,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
63,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
6,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
47,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE
12,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
110,AGREE,DISAGREE,AGREE,AGREE,AGREE
28,DISAGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
96,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
5989,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE
