,A higher minimum wage might negatively impact small businesses that cannot afford to pay their workers more.,"Some believe that raising the minimum wage to $15/hour isn't enough and should be increased further, such as $20 or even $25/hour.",There's a concern that the implementation of a higher minimum wage may result in increased automation and job loss.,Raising the minimum wage is seen as a step towards addressing income inequality and creating a fairer society.,"The effectiveness of a higher minimum wage in tackling the root of the problem is questioned, and alternative solutions like a guaranteed minimum income might be considered instead."
215,-1,1,-1,1,-1
85,1,-1,1,-1,1
33,-1,-1,1,-1,1
14,-1,-1,-1,1,-1
55,1,1,1,1,1
92,1,1,1,1,1
56,1,-1,1,-1,1
52,1,-1,1,-1,1
63,-1,1,-1,1,-1
6,1,-1,1,-1,1
47,1,-1,-1,-1,1
12,1,-1,1,-1,1
110,1,-1,1,1,1
28,-1,1,1,1,1
15,-1,1,-1,1,-1
96,1,-1,1,-1,1
5989,-1,1,-1,1,-1
