modes,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess,agree_disagree_best_guess
comments,"Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge.",It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers.,Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg.,"Good move. Will boost econy here
",Something needs to be done to address income inequality and this is a good if imperfect start,"One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job.""",This is something that will impact SMB who cannot afford paying 15$/hour wage,It's so high that it will definitely cost some needy people their jobs.,This is cool! I say hike it up to $20,This will cause small businesses to go out of business.,I agree. The small business will need to make poverty fashionable,$15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair.,Guaranteed minimum income! Remove all the specific programs!,"It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it?",Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing.,"Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear.",the minimum wage should $25 per hour
agents,,,,,,,,,,,,,,,,,
215,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
85,-1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1
33,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1
55,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
92,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
56,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1
52,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1
63,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1
6,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1
47,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1
12,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1
110,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1
28,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1
15,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
96,-1,1,1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1
5989,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1
