,timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
0,1542406176584,Sat Nov 17 05:09:36 WIB 2018,53,6172,1,0,0,Not sure I believe any of this...
1,1403067224363,Wed Jun 18 11:53:44 WIB 2014,48,215,38,18,1,"Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."
2,1403058993627,Wed Jun 18 09:36:33 WIB 2014,36,85,53,30,1,It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers.
3,1403058892294,Wed Jun 18 09:34:52 WIB 2014,20,33,43,46,1,Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg.
4,1403054231140,Wed Jun 18 08:17:11 WIB 2014,4,0,60,25,1,"While the arguments for the raise in the minimum wage law have been trumpeted as being “anti corporate greed”, those larger companies are, ironically, the most able to pay for the increase in wages. This will hurt small businesses the most, and I don’t think the law’s provisions do enough to accommodate this.
"
5,1403058803883,Wed Jun 18 09:33:23 WIB 2014,13,8,1,0,-1,Hello.
6,1403054214174,Wed Jun 18 08:16:54 WIB 2014,0,0,54,35,1,"I imagine new businesses opening will run counter operations where guests grab their own silverware and bus their own tables.
"
7,1403054218578,Wed Jun 18 08:16:58 WIB 2014,1,0,67,25,1,"This is a game changer. The myriad of unintended consequences it too complex to really understand; even for restaurant veterans.
"
8,1403054222443,Wed Jun 18 08:17:02 WIB 2014,2,0,61,29,1,"At the very least, customers across the board are going to have to pay more to accommodate the new wage. Some people will be okay with that but I worry that customers will start spending less and going out less as they adjust to higher prices.
"
9,1403054226371,Wed Jun 18 08:17:06 WIB 2014,3,0,55,24,1,"There seems to be a fallacy that instead of lining our richie-rich pockets, business owners will simply break off a little more for their employees. I’m an owner of a small business, and I barely get paid $15 an hour.
"
10,1403054236703,Wed Jun 18 08:17:16 WIB 2014,5,0,61,38,1,"This will lead to robots. 
"
11,1403054240314,Wed Jun 18 08:17:20 WIB 2014,6,0,58,36,1,"I don't think it's a bad thing but for smaller businesses, only the super strong will survive. It will mean that only owners who are willing and able to work every day at their own businesses to reduce labor costs will survive.
"
12,1403054245289,Wed Jun 18 08:17:25 WIB 2014,7,0,38,44,1,"I think there are better ways to implement this. For instance, what about subsidies 
"
13,1403054250315,Wed Jun 18 08:17:30 WIB 2014,8,0,65,33,1,"During the campaign, I found out that 75% of minimum-wage workers are 20 or older. I think it’s the right thing to do to bring higher incomes to this group of people. 
"
14,1403054253758,Wed Jun 18 08:17:33 WIB 2014,9,0,72,33,1,"Paying $15/hour to tens of millions of workers around the country will increase the amount they and their families can spend on goods and services, which would provide a huge boost to the economy. 
"
15,1403054257384,Wed Jun 18 08:17:37 WIB 2014,10,0,41,45,1,"I think it is unlikely that companies will raise prices, as they still have to remain competitive in the market. I think it is more likely that companies will have less profits and I’m ok with that. 
"
16,1403054260973,Wed Jun 18 08:17:40 WIB 2014,11,0,78,23,1,"Given inflation, unless workers fight they are continually being pushed down. I think we’ll need to revisit these laws again and again to make sure the economy is working for poor families. 
"
17,1403054265097,Wed Jun 18 08:17:45 WIB 2014,12,0,85,28,1,"It’s called a ‘living wage’ for a reason - there shouldn’t be a debate about the ethics of the law. Anyone who has done the math knows that it’s impossible to pay rent and bills on the present minimum wage. 
"
18,1403058817504,Wed Jun 18 09:33:37 WIB 2014,15,17,1,0,-1,First piece of spam on polis!  Buy products now!
19,1403058813058,Wed Jun 18 09:33:33 WIB 2014,14,20,1,0,-1,1406155523802
20,1403058857288,Wed Jun 18 09:34:17 WIB 2014,16,20,1,0,-1,?
21,1403058861979,Wed Jun 18 09:34:21 WIB 2014,17,65,1,0,-1,Awesome!
22,1403058915546,Wed Jun 18 09:35:15 WIB 2014,24,14,54,45,1,"Good move. Will boost econy here
"
23,1403058942845,Wed Jun 18 09:35:42 WIB 2014,30,20,1,0,-1,hola Lazaro
24,1403059129964,Wed Jun 18 09:38:49 WIB 2014,45,55,55,12,1,Something needs to be done to address income inequality and this is a good if imperfect start
25,1403058869983,Wed Jun 18 09:34:29 WIB 2014,19,20,1,0,-1,No entiendo!
26,1403058960181,Wed Jun 18 09:36:00 WIB 2014,31,20,1,0,-1,Lazaro kiss me
27,1403059043737,Wed Jun 18 09:37:23 WIB 2014,39,92,26,15,1,"One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."""
28,1403058867178,Wed Jun 18 09:34:27 WIB 2014,18,56,51,22,1,This is something that will impact SMB who cannot afford paying 15$/hour wage
29,1403058915602,Wed Jun 18 09:35:15 WIB 2014,25,52,47,37,1,It's so high that it will definitely cost some needy people their jobs.
30,1403059099000,Wed Jun 18 09:38:19 WIB 2014,42,25,1,0,-1,"Edward Tufte talks about a ""supergraphic"". It's a chart or display that is so effective it causes people to ignore the speaker, but yet they totally get it. This is one of those."
31,1403058980254,Wed Jun 18 09:36:20 WIB 2014,35,78,1,0,-1,I think it is cool
32,1403059006610,Wed Jun 18 09:36:46 WIB 2014,37,61,1,0,-1,I think it's whacky wonkey.
33,1403058896276,Wed Jun 18 09:34:56 WIB 2014,21,20,1,0,-1,Really?
34,1403058898430,Wed Jun 18 09:34:58 WIB 2014,22,66,1,0,-1,So confused.
35,1403058900227,Wed Jun 18 09:35:00 WIB 2014,23,8,1,0,-1,Did I write something?
36,1403058930114,Wed Jun 18 09:35:30 WIB 2014,26,63,24,63,1,This is cool! I say hike it up to $20
37,1403058933284,Wed Jun 18 09:35:33 WIB 2014,27,20,1,0,-1,Hola
38,1403058937389,Wed Jun 18 09:35:37 WIB 2014,28,6,36,44,1,This will cause small businesses to go out of business.
39,1403058939247,Wed Jun 18 09:35:39 WIB 2014,29,47,11,24,1,I agree. The small business will need to make poverty fashionable
40,1403058964205,Wed Jun 18 09:36:04 WIB 2014,32,12,25,48,1,$15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair.
41,1403058971419,Wed Jun 18 09:36:11 WIB 2014,33,20,1,0,-1,I am yours
42,1403058975703,Wed Jun 18 09:36:15 WIB 2014,34,110,41,29,1,Guaranteed minimum income! Remove all the specific programs!
43,1403059037374,Wed Jun 18 09:37:17 WIB 2014,38,101,1,0,-1,Does this mean at the majority of he folks in the back agree and the front disagree??
44,1403059069695,Wed Jun 18 09:37:49 WIB 2014,40,34,1,0,-1,I don't get it
45,1403059096397,Wed Jun 18 09:38:16 WIB 2014,41,97,1,0,-1,"15 an hour cuz everyone needs more weed
"
46,1403059108108,Wed Jun 18 09:38:28 WIB 2014,43,28,16,17,1,"It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it?"
47,1403059128766,Wed Jun 18 09:38:48 WIB 2014,44,15,16,18,1,Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing.
48,1403059137285,Wed Jun 18 09:38:57 WIB 2014,46,96,31,24,1,"Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear."
49,1403059348141,Wed Jun 18 09:42:28 WIB 2014,47,25,1,0,-1,Poop.
50,1418189585977,Wed Dec 10 12:33:05 WIB 2014,50,5837,1,0,-1,Foo!
51,1417931276238,Sun Dec 07 12:47:56 WIB 2014,49,5834,1,0,-1,foo
52,1475007514456,Wed Sep 28 03:18:34 WIB 2016,52,5988,1,0,-1,the sky is blue
53,1475007090020,Wed Sep 28 03:11:30 WIB 2016,51,5989,14,26,1,the minimum wage should $25 per hour
