Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
652023b313c1fdb6e66a642e,6152095d0b65b445c020dab6,AWAITING REVIEW,2023-10-06T15:12:28.489000Z,2023-10-06T15:52:40.308000Z,,2023-10-06T15:52:40.943731Z,2412.0,C16VIHGQ,3849,Independent,English,64,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65202771b665b79195a2d70a,6376b9ede4f5ca90df04d617,AWAITING REVIEW,2023-10-06T15:27:49.455000Z,2023-10-06T16:03:14.508000Z,,2023-10-06T16:03:15.731748Z,2126.0,C16VIHGQ,1991,Independent,English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
652028e2109d52adbc78f7b6,6151f8d17451289b4a59a6a8,AWAITING REVIEW,2023-10-06T15:34:44.391000Z,2023-10-06T16:06:59.419000Z,,2023-10-06T16:07:00.465842Z,1936.0,C16VIHGQ,3144,Independent,"English, German",82,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6523d19a0286d0ca753a33d4,5bdcd88176d6d50001bc3849,AWAITING REVIEW,2023-10-09T10:10:40.262000Z,2023-10-09T10:49:15.446000Z,,2023-10-09T10:49:17.030249Z,2316.0,C16VIHGQ,4433,Independent,English,58,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6523d7d0e37b8ee2e37e2b15,634656bd2603b4db42ae94e1,AWAITING REVIEW,2023-10-09T10:37:38.550000Z,2023-10-09T10:57:12.961000Z,,2023-10-09T10:57:13.603235Z,1175.0,C16VIHGQ,489,Independent,English,58,Male,White,United States,United States,United States,English,No,Full-Time
6523dc47b3549ca34f7e2bf9,642ee1cb7e6da0f6158a6743,AWAITING REVIEW,2023-10-09T10:56:07.676000Z,2023-10-09T11:32:20.648000Z,,2023-10-09T11:32:21.584116Z,2173.0,C16VIHGQ,1221,Independent,English,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6523dca55257705bc05b3283,641081a1261eb10752b72497,AWAITING REVIEW,2023-10-09T10:57:41.551000Z,2023-10-09T11:26:42.479000Z,,2023-10-09T11:26:43.085685Z,1741.0,C16VIHGQ,1940,Independent,English,58,Male,White,United States,United States,United States,English,No,Full-Time
6523e510bcbecaa1ffcab075,6228f5506248f4f80a39008a,AWAITING REVIEW,2023-10-09T11:33:40.753000Z,2023-10-09T11:47:14.177000Z,,2023-10-09T11:47:14.882235Z,814.0,C16VIHGQ,1878,Independent,"Dutch, English",64,Male,White,United States,United States,United States,English,No,Part-Time
6523eb5d30666940b4b32c95,63852498bcb698988baa11c2,AWAITING REVIEW,2023-10-09T12:00:38.182000Z,2023-10-09T12:12:36.640000Z,,2023-10-09T12:12:38.141296Z,719.0,C16VIHGQ,2105,Independent,English,59,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
6523f25058827015f374fcba,59e7477e3e4b5a00016aa4d2,AWAITING REVIEW,2023-10-09T12:30:25.128000Z,2023-10-09T12:57:35.841000Z,,2023-10-09T12:57:36.490666Z,1631.0,C16VIHGQ,5520,Independent,English,58,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
