"Name","CD2 - vax"
"Title","Feedback on tecch policy"
"Date","October 13, 2023 at 05:50 PM (GMT)"
"Duration","70:10:54"
"Participants","300"
"Participant Limit","300"
"Total Screener Polls","10"
"Total Conversation Questions","28"


"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"b46f656d-da02-4364-ad9e-1b15a5d70fa4","Poll Single Select","What is your age?","18-24","10%","6%","15%","9%","13%","34%","0%","0%","11%","14%","0%","0%","9%","31%","9%","17%","9%","0%","0%","9%","9%","60%","0%","4%","4%","33%","0%","0%","50%","14%","15%","11%","7%","12%","0%","0%","0%","0%","15%","9%","2%","11%","9%","0%","7%","9%","12%","8%","13%","0%","13%","1%","10%","10%","10%"
"b46f656d-da02-4364-ad9e-1b15a5d70fa4","Poll Single Select","What is your age?","25-34","20%","20%","20%","13%","37%","66%","0%","0%","19%","18%","29%","29%","22%","44%","26%","44%","13%","50%","33%","20%","18%","40%","100%","13%","29%","33%","0%","33%","50%","24%","20%","19%","20%","20%","33%","0%","0%","50%","19%","21%","18%","18%","21%","50%","23%","17%","17%","24%","19%","0%","18%","25%","15%","21%","21%"
"b46f656d-da02-4364-ad9e-1b15a5d70fa4","Poll Single Select","What is your age?","33-44","17%","15%","21%","18%","17%","0%","46%","0%","18%","14%","24%","24%","18%","13%","18%","28%","18%","8%","0%","17%","18%","0%","0%","20%","12%","0%","0%","0%","0%","5%","21%","15%","20%","17%","33%","0%","0%","0%","17%","20%","11%","19%","16%","0%","7%","22%","22%","18%","11%","0%","16%","21%","23%","13%","19%"
"b46f656d-da02-4364-ad9e-1b15a5d70fa4","Poll Single Select","What is your age?","45-54","20%","20%","20%","20%","20%","0%","54%","0%","22%","11%","6%","6%","9%","13%","26%","11%","20%","33%","0%","20%","21%","0%","0%","22%","22%","33%","25%","0%","0%","10%","20%","20%","16%","23%","0%","0%","0%","0%","24%","18%","18%","21%","20%","0%","20%","17%","24%","14%","27%","0%","22%","14%","18%","22%","19%"
"b46f656d-da02-4364-ad9e-1b15a5d70fa4","Poll Single Select","What is your age?","55+","33%","39%","25%","41%","12%","0%","0%","100%","31%","43%","41%","41%","42%","0%","21%","0%","41%","8%","67%","34%","34%","0%","0%","40%","33%","0%","75%","67%","0%","48%","25%","34%","37%","29%","33%","0%","0%","50%","26%","33%","51%","32%","34%","50%","43%","35%","25%","35%","29%","100%","31%","40%","34%","34%","30%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","Asian","5%","6%","5%","0%","19%","13%","4%","0%","4%","14%","6%","6%","11%","100%","0%","0%","0%","0%","0%","5%","4%","40%","0%","3%","4%","0%","0%","33%","100%","10%","5%","5%","7%","4%","33%","0%","0%","0%","1%","7%","11%","5%","5%","50%","10%","4%","5%","10%","0%","0%","7%","1%","4%","5%","7%"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","Black","11%","12%","10%","0%","41%","13%","13%","7%","12%","7%","12%","12%","9%","0%","100%","0%","0%","0%","0%","14%","8%","20%","0%","12%","12%","0%","0%","33%","0%","14%","10%","16%","5%","12%","33%","0%","0%","0%","13%","11%","7%","14%","8%","0%","13%","16%","12%","8%","8%","0%","10%","15%","10%","9%","17%"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","Hispanic","6%","6%","6%","0%","22%","12%","6%","0%","7%","0%","0%","0%","0%","0%","0%","100%","0%","0%","0%","7%","5%","0%","0%","1%","14%","0%","0%","0%","0%","10%","6%","5%","3%","8%","33%","0%","0%","0%","8%","5%","4%","6%","7%","0%","3%","6%","10%","3%","6%","0%","6%","5%","8%","7%","2%"
