,There should be officers more readily available to the county areas; ex. for domestic violence disputes.,Hawaii outlaws billboards tokeep the landscape from being blocked I would love to see Bowling Green billboard free,We need better cable options.,More public transportation options--be creative,Parking lots should be monitored to prevent illegal parking in handicap spaces.,"Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels.",Human trafficking in Bowling Green needs to be investigated by the FBI before it becomes a larger problem swept under the rug.,Tuckertown area needs fire protection. Currently rated Class 10 expensive insurance. Water lines are close by on Otter Gap & Tuckertown Rds.,"One should not be able to literally ""buy"" their way into ability to vote in an election in a locality they do not live in.  $ don't buy vote",Bowling Green needs to annex a solid geographic area & thereby eliminating those areas within our city that are not receiving city services.,Reducing poverty will enhance the quality of life for everyone in our community regardless of status.,WKU should consider building a parking structure at the Chestnut St lot.,"Plan for people, not cars. Walking should be enjoyable, not a hazard.","Older apartment complexes deteriorate.  Creates blighted areas, crime increases.  Stricter Landlord/Tenant rules needed!",Our sidewalks need more connectivity. It's too piecemealed and makes some areas unusable.,Expand Nashville Rd all the way past Chaney’s & Buchanan park.  Very dangerous area.. very much so for a school area & young drivers.,"City should bar non-competes, similar to North Dakota/California, as driving destitution in non-tenure work force. Be heroic destination.",Develop a manufacturing Work training program for jail inmates that qualify,"City/County schools should have a minimum one year classroom for immigrant and refugee students so they can learn english, culture and laws","Graves Gilbert Clinic has developed a monopoly on healthcare in Warren County and has driven away many skilled providers, decreasing choice.",Bring a discount grocer to the downtown area.,The LEFT turning light at Nashville onto Dishman & the same for Scottsville onto Lovers Ln.. need to be longer to allow more to go through.,Complete the ky. 185 restructuring project.,Year round indoor swimming facility is needed.,Post-secondary training programs for special education students.,"If the state cannot provide good retirement benefits to KRS employees, the county/city should supplement the retirement with a 401k.","Broadband should be expanded to places like Rockfield, Woodburn, and Alvaton.",We need a real bus system.,We are loosing the city’s long established neighborhoods to multi family developments that do not fit in with the single family residences,We need mixed-use development in the most disadvantaged areas of BG.,The Kentucky Career Center on Chestnut is a great resource to locate employment.,"City School taxes are too high , they need to budget more",A fresh food grocery store to be built in Delafield and Morgantown rd areas within walking distance of residents.,"Need new schools in Warren County to keep up with population growth, CTE is falling down, Drakes and Greenwood high are way overcrowded",Require businesses to pick up litter they and their customers generate.,"Locally owned, small businesses should get incentives and assistance -- not chains and outside investors.",Individuals should be treated equally. Higher positions or who you work for should not release anyone from responsibility of their actions.,"We have an estimated 125,000 people but we still don't have a hospital that is trauma center and have to ship everyone to TN or Louisville.",There isn’t enough here to draw young families. We need a beautification of the riverfront and a more walkable city for young professionals,Greek Life should be monitored on WKU's campus.,The cable “franchise” monopoly needs to change! $170 for basic cable & internet is too much!,Majority rule doesn't count if majority votes no to spending 6 cents per $100 to eliminate homelessness for hundreds of school children.,"More weekend activites are needed for YOUNG Seniors, who arent yet ready for Bingo nights.",Wal-Mart and Kroger grocery pick-up should have to accept EBT for the elderly and disabled,7% of Paker-Bennett &  3.7% of Bristow homeless. I will pay 6 cents per $100 income to end homelessness for school-age families via Apt. $,A way to improve Bowling Green and the surrounding areas is to improve traffic flow & circulation by limiting the number of traffic lights.,Urban sprawl in Bowling Green is a major problem that has made this city less walking/bike friendly.,"We need to renovate the run down businesses and store fronts, instead of building new places",animal cruelty laws need to exist and be enforced,"Local government, for profit and non profits should work together on housing and economic equality"
"(1290, (668,))",1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"(1640, (861,))",-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
"(1001, (495,))",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"(393, (268,))",-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1
"(462, (300,))",1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
"(1534, (834,))",-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"(181, (124,))",1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"(1033, (520,))",-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"(36, (349,))",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"(125, (98,))",1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
"(858, (436,))",1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1
