"a_id","a_title","b_id","b_title","c_id","c_title","va_id","vb_id"
"298","Truth Seeking","335","Life's Possibilities","234","Comprehensive Exploration & Experiential Learning","882","472"
"298","Truth Seeking","335","Life's Possibilities","234","Comprehensive Exploration & Experiential Learning","984","472"
"335","Life's Possibilities","298","Truth Seeking","234","Comprehensive Exploration & Experiential Learning","619","824"
"335","Life's Possibilities","298","Truth Seeking","234","Comprehensive Exploration & Experiential Learning","619","850"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","739","567"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","739","651"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","771","567"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","771","651"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","793","567"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","793","651"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","892","567"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","892","651"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","992","567"
"172","Finding Trustworthy Support","219","Empathetic Reflection","304","Informed Autonomy","992","651"
"219","Empathetic Reflection","172","Finding Trustworthy Support","304","Informed Autonomy","596","753"
"219","Empathetic Reflection","172","Finding Trustworthy Support","304","Informed Autonomy","596","950"
"219","Empathetic Reflection","172","Finding Trustworthy Support","304","Informed Autonomy","667","753"
"219","Empathetic Reflection","172","Finding Trustworthy Support","304","Informed Autonomy","667","950"
"296","Understanding and Validating","172","Finding Trustworthy Support","304","Informed Autonomy","351","753"
"296","Understanding and Validating","172","Finding Trustworthy Support","304","Informed Autonomy","351","950"
"296","Understanding and Validating","219","Empathetic Reflection","304","Informed Autonomy","351","567"
"296","Understanding and Validating","219","Empathetic Reflection","304","Informed Autonomy","351","651"
