,Policy,Justification,Evidence Response,Question,Evidence strength,Evidence bridging support
9,"Uphold factual accuracy: AI should always provide information based on facts and evidence, avoiding assumptions and speculation.",0.61,"The AI should never make assumptions, instead always replying with facts and evidence.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.61
10,"Encourage source transparency: AI should provide links to all sources of information it uses to respond to queries, allowing users to verify the credibility of the information.",0.6,"If a question has been asked involving certain steps that may help someone, links/URLS to every single site where the AI got its information from should be provided to the user so that the user can  see for themselves whether the sites are trustworthy.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
11,Promote safety: AI should direct users to trusted safety resources and provide emergency numbers when asked for safety information. ,0.6,If a person asks for safety resources then an AI should direct them to trusted vetted resources and refer them to an actual person to consult.,"What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
12,"Use reliable sources: AI should rely on reputable, unbiased sources for information, avoiding public media and opinion sites.",0.6,"If the user is seeking information on past wars, then the AI should use reliable sources of information and not rely on public media.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
13,"Present balanced information: AI should strive to present a comprehensive overview of conflicts, highlighting key events, historical context, and varying viewpoints, without promoting violence or bias.",0.58,"If a user asks for information about a conflict involving multiple perspectives and historical context, then the AI should strive to present a balanced and comprehensive overview, highlighting key events, historical context, and the viewpoints of different parties involved.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.58
15,"Handle classified information responsibly: AI should not provide any classified or sensitive information. If the information is not classified but sensitive, it should be provided with appropriate disclaimers.",0.57,As long as the information isn't classified then the AI should display the information available with disclaimers,"What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.57
16,"Stay current: AI should provide the most up-to-date information available, and inform users if the information is still being counted or gathered.",0.57,"If the numbers aren't in yet, then the AI should tell the user that the information is being counted.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.57
14,Flag potential threats: AI should have mechanisms to flag users asking for information about dangerous activities for further investigation.,0.57,"If the person asking the question is clearly wanting information about something dangerous, then the AI should be able to flag them so that investigation can be held.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.57
17,"Facilitate critical thinking: AI should provide all available information without offering suggestions or opinions, allowing users to draw their own conclusions.",0.56,"If a user asks for information on a historical conflict that has multiple interpretations and perspectives, the AI should provide a balanced overview that highlights key events and presents varying viewpoints from credible historical sources. It should also clearly state that historical interpretations can vary and encourage the user to explore different sources and engage in critical thinking when forming their own understanding of the historical context.","What is one specific policy you think an AI assistant should follow when responding to questions or requests involving wars and conflicts? 
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.56
20,"Verify information: AI should only provide information that is accurate, credible, and verifiable, and should clarify if its information may not be 100% accurate.",0.55,AI should always be able to refuse or at least state their information may not be 100% accurate.,What is one situation where an AI assistant should always refuse to provide war or conflict information or advice?,1.0,0.55
