,A significant increase in the minimum wage could negatively impact small businesses and potentially cost some workers their jobs.,Higher minimum wages may lead to accelerated adoption of automation in industries with low-skilled workers.,Raising the minimum wage is an imperfect solution to the systemic problem of income inequality.,Addressing income inequality and exploring the idea of a guaranteed minimum income could be beneficial for society in the long term.,Increasing the minimum wage may result in inflation and other negative consequences such as reduction in benefits.
215,-1,1,1,1,-1
85,1,1,1,1,1
33,-1,-1,1,-1,1
14,-1,-1,-1,1,-1
55,-1,1,1,1,1
92,-1,1,1,1,-1
56,1,1,1,1,1
52,1,1,1,-1,1
63,-1,1,1,-1,-1
6,1,1,1,-1,1
47,1,1,1,1,-1
12,1,1,1,-1,1
110,-1,1,1,1,1
28,1,1,1,1,1
15,-1,1,1,1,-1
96,1,1,1,-1,1
5989,-1,1,1,1,-1
