,A significant increase in the minimum wage could negatively impact small businesses and potentially cost some workers their jobs.,Higher minimum wages may lead to accelerated adoption of automation in industries with low-skilled workers.,Raising the minimum wage is an imperfect solution to the systemic problem of income inequality.,Addressing income inequality and exploring the idea of a guaranteed minimum income could be beneficial for society in the long term.,Increasing the minimum wage may result in inflation and other negative consequences such as reduction in benefits.
215,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
85,AGREE,AGREE,AGREE,AGREE,AGREE
33,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
14,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
55,DISAGREE,AGREE,AGREE,AGREE,AGREE
92,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
56,AGREE,AGREE,AGREE,AGREE,AGREE
52,AGREE,AGREE,AGREE,DISAGREE,AGREE
63,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE
6,AGREE,AGREE,AGREE,DISAGREE,AGREE
47,AGREE,AGREE,AGREE,AGREE,DISAGREE
12,AGREE,AGREE,AGREE,DISAGREE,AGREE
110,DISAGREE,AGREE,AGREE,AGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
96,AGREE,AGREE,AGREE,DISAGREE,AGREE
5989,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
