"Name","Collective Dialogue #2 - pretest [med]"
"Title","AI and medical advice"
"Date","August 25, 2023 at 06:56 PM (GMT)"
"Duration","06:19:36"
"Participants","53"
"Participant Limit","100"
"Total Screener Polls","10"
"Total Conversation Questions","10"


"Question ID","Question Type","Question","Responses","All(53)","O1: 18-24 (11)","O1: 25-34 (20)","O1: 33-44 (11)","O1: 45-54 (4)","O1: 55+ (7)","O2: Asian (2)","O2: Black (3)","O2: Hispanic (5)","O2: White (40)","O2: Mixed (3)","O2: Other (0)","O3: Male (28)","O3: Female (23)","O3: Other (1)","O3: Prefer not to say (1)","O4: Democrat (27)","O4: Republican (7)","O4: Independant (16)","O4: Other (3)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (25)","O5: College / Bachelors degree (26)","O5: Masters/ PhD or equivalent (2)","O6: A lot (27)","O6: A little (26)","O6: Nothing at all (0)","O7: Almost every day (5)","O7: Once or twice a week (12)","O7: Once or twice a month (14)","O7: Only once or twice ever (13)","O7: Never (9)","O7: Do not know what an AI assistant is (0)","O8: Bad for humanity (12)","O8: Good for humanity (41)","O9: Mostly excited (14)","O9: Somewhat excited (9)","O9: Totally neutral (7)","O9: Somewhat concerned (14)","O9: Mostly concerned (9)","O10: Christian - Protestant (8)","O10: Christian - Catholic (10)","O10: Christian - Mormon (0)","O10: Jewish (0)","O10: Muslim (1)","O10: Hindu (0)","O10: Other (7)","O10: None - I do not identify with any religious group or faith (27)","Religious (26)","Not religious (27)","White (40)","Not white (13)","Under 34 (31)","33-54 (15)","55+ (7)","Support initial policy (42)","Unsure on initial policy (8)","Don't support initial policy (2)","unsure/don't support policy (10)"
"e1b2acc9-ab4f-4c70-b785-b6125e2bc52f","Poll Single Select","What is your age?","18-24","21%","100%","0%","0%","0%","0%","100%","67%","20%","13%","33%","0%","25%","13%","0%","100%","26%","29%","6%","33%","0%","0%","0%","28%","15%","0%","26%","15%","0%","20%","17%","21%","15%","33%","0%","42%","15%","14%","33%","29%","7%","33%","13%","0%","0%","0%","100%","0%","0%","33%","8%","33%","13%","46%","35%","0%","0%","21%","13%","50%","20%"
"e1b2acc9-ab4f-4c70-b785-b6125e2bc52f","Poll Single Select","What is your age?","25-34","38%","0%","100%","0%","0%","0%","0%","33%","60%","38%","33%","0%","39%","35%","100%","0%","33%","29%","50%","33%","0%","0%","0%","40%","35%","50%","41%","35%","0%","40%","33%","43%","31%","44%","0%","33%","39%","43%","33%","43%","36%","33%","25%","50%","0%","0%","0%","0%","86%","26%","50%","26%","38%","38%","65%","0%","0%","40%","25%","50%","30%"
"e1b2acc9-ab4f-4c70-b785-b6125e2bc52f","Poll Single Select","What is your age?","33-44","21%","0%","0%","100%","0%","0%","0%","0%","20%","23%","33%","0%","25%","17%","0%","0%","11%","14%","38%","33%","0%","0%","0%","8%","31%","50%","19%","23%","0%","0%","33%","21%","15%","22%","0%","25%","20%","21%","33%","0%","21%","22%","13%","40%","0%","0%","0%","0%","0%","22%","19%","22%","23%","15%","0%","73%","0%","24%","13%","0%","10%"
"e1b2acc9-ab4f-4c70-b785-b6125e2bc52f","Poll Single Select","What is your age?","45-54","8%","0%","0%","0%","100%","0%","0%","0%","0%","10%","0%","0%","7%","9%","0%","0%","7%","14%","6%","0%","0%","0%","0%","12%","4%","0%","11%","4%","0%","20%","8%","7%","8%","0%","0%","0%","10%","14%","0%","14%","7%","0%","13%","0%","0%","0%","0%","0%","14%","7%","8%","7%","10%","0%","0%","27%","0%","5%","25%","0%","20%"
"e1b2acc9-ab4f-4c70-b785-b6125e2bc52f","Poll Single Select","What is your age?","55+","13%","0%","0%","0%","0%","100%","0%","0%","0%","18%","0%","0%","4%","26%","0%","0%","22%","14%","0%","0%","0%","0%","0%","12%","15%","0%","4%","23%","0%","20%","8%","7%","31%","0%","0%","0%","17%","7%","0%","14%","29%","11%","38%","10%","0%","0%","0%","0%","0%","11%","15%","11%","18%","0%","0%","0%","100%","10%","25%","0%","20%"

"Question ID","Question Type","Question","Responses","All(53)","O1: 18-24 (11)","O1: 25-34 (20)","O1: 33-44 (11)","O1: 45-54 (4)","O1: 55+ (7)","O2: Asian (2)","O2: Black (3)","O2: Hispanic (5)","O2: White (40)","O2: Mixed (3)","O2: Other (0)","O3: Male (28)","O3: Female (23)","O3: Other (1)","O3: Prefer not to say (1)","O4: Democrat (27)","O4: Republican (7)","O4: Independant (16)","O4: Other (3)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (25)","O5: College / Bachelors degree (26)","O5: Masters/ PhD or equivalent (2)","O6: A lot (27)","O6: A little (26)","O6: Nothing at all (0)","O7: Almost every day (5)","O7: Once or twice a week (12)","O7: Once or twice a month (14)","O7: Only once or twice ever (13)","O7: Never (9)","O7: Do not know what an AI assistant is (0)","O8: Bad for humanity (12)","O8: Good for humanity (41)","O9: Mostly excited (14)","O9: Somewhat excited (9)","O9: Totally neutral (7)","O9: Somewhat concerned (14)","O9: Mostly concerned (9)","O10: Christian - Protestant (8)","O10: Christian - Catholic (10)","O10: Christian - Mormon (0)","O10: Jewish (0)","O10: Muslim (1)","O10: Hindu (0)","O10: Other (7)","O10: None - I do not identify with any religious group or faith (27)","Religious (26)","Not religious (27)","White (40)","Not white (13)","Under 34 (31)","33-54 (15)","55+ (7)","Support initial policy (42)","Unsure on initial policy (8)","Don't support initial policy (2)","unsure/don't support policy (10)"
"e563ef4b-2880-4c71-9913-1eb62804342c","Poll Single Select","What is your ethnicity?","Asian","4%","18%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","7%","0%","0%","0%","4%","14%","0%","0%","0%","0%","0%","4%","4%","0%","7%","0%","0%","20%","8%","0%","0%","0%","0%","8%","2%","7%","0%","0%","7%","0%","0%","0%","0%","0%","100%","0%","0%","4%","4%","4%","0%","15%","6%","0%","0%","5%","0%","0%","0%"
"e563ef4b-2880-4c71-9913-1eb62804342c","Poll Single Select","What is your ethnicity?","Black","6%","18%","5%","0%","0%","0%","0%","100%","0%","0%","0%","0%","7%","0%","0%","100%","4%","14%","0%","33%","0%","0%","0%","12%","0%","0%","7%","4%","0%","0%","0%","7%","8%","11%","0%","17%","2%","0%","11%","0%","0%","22%","0%","0%","0%","0%","0%","0%","0%","11%","0%","11%","0%","23%","10%","0%","0%","2%","13%","50%","20%"
"e563ef4b-2880-4c71-9913-1eb62804342c","Poll Single Select","What is your ethnicity?","Hispanic","9%","9%","15%","9%","0%","0%","0%","0%","100%","0%","0%","0%","11%","9%","0%","0%","7%","0%","19%","0%","0%","0%","0%","0%","19%","0%","15%","4%","0%","0%","17%","0%","23%","0%","0%","8%","10%","21%","0%","0%","7%","11%","0%","30%","0%","0%","0%","0%","14%","4%","15%","4%","0%","38%","13%","7%","0%","10%","13%","0%","10%"
