"Name","Large scale eval - Vax"
"Title","AI policy on vaccines"
"Date","October 19, 2023 at 04:25 PM (GMT)"
"Duration","117:40:16"
"Participants","929"
"Participant Limit","1100"
"Total Screener Polls","10"
"Total Conversation Questions","17"


"Question ID","Question Type","Question","Responses","All(929)","O1: 18-24 (104)","O1: 25-34 (186)","O1: 35-44 (166)","O1: 45-54 (161)","O1: 55+ (312)","O2: Asian (52)","O2: Black (140)","O2: Hispanic (63)","O2: White (627)","O2: Mixed (39)","O2: Other (8)","O3: Male (441)","O3: Female (474)","O3: Other (14)","O3: Prefer not to say (0)","O4: Democrat (325)","O4: Republican (258)","O4: Independant (335)","O4: Other (11)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (8)","O5: High school or GED (462)","O5: College / Bachelors degree (336)","O5: Masters/ PhD or equivalent (123)","O6: A lot (503)","O6: A little (423)","O6: Nothing at all (3)","O7: Almost every day (134)","O7: Once or twice a week (264)","O7: Once or twice a month (205)","O7: Only once or twice ever (182)","O7: Never (140)","O7: Do not know what an AI assistant is (4)","O8: More excited than concerned (292)","O8: Equally concerned and excited (412)","O8: More concerned than excited (225)","O9: Christian - Protestant (301)","O9: Christian - Catholic (150)","O9: Christian - Mormon (5)","O9: Jewish (13)","O9: Muslim (8)","O9: Hindu (5)","O9: Other (85)","Under 34 (290)","33-54 (327)","55+ (312)","O9: None - I do not identify with any religious group or faith (362)","Initial support (633)","Initial unsure (125)","Initial not support (145)","Christian (456)","Religious - non-christian (111)","Non-religious (362)","White (627)","Black (140)","Not white or black (162)","High school or less (470)","College / Bachelors degree (336)","Masters / PhD (123)","FInal support (706)","Final unsure (97)","Final don't support (97)","O10: Yes, the public should help to decide how AI assistants answer difficult questions (698)","O10: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (231)"
"f89506d3-5b80-450c-8ad9-2fadb723d718","Poll Single Select","What is your age?","18-24","11%","100%","0%","0%","0%","0%","27%","11%","19%","9%","13%","0%","12%","10%","36%","0%","11%","7%","15%","18%","0%","0%","25%","12%","13%","5%","12%","11%","33%","13%","9%","11%","14%","10%","0%","12%","11%","10%","9%","7%","20%","0%","13%","40%","18%","36%","0%","0%","13%","11%","10%","11%","8%","16%","13%","9%","11%","19%","12%","13%","5%","12%","9%","8%","12%","9%"
"f89506d3-5b80-450c-8ad9-2fadb723d718","Poll Single Select","What is your age?","25-34","20%","0%","100%","0%","0%","0%","19%","24%","37%","17%","18%","38%","23%","18%","14%","0%","18%","18%","24%","9%","0%","0%","0%","22%","18%","20%","19%","22%","0%","23%","24%","22%","15%","14%","0%","22%","20%","17%","15%","19%","20%","8%","38%","20%","21%","64%","0%","0%","24%","21%","22%","14%","17%","21%","24%","17%","24%","27%","21%","18%","20%","21%","21%","18%","21%","18%"
"f89506d3-5b80-450c-8ad9-2fadb723d718","Poll Single Select","What is your age?","35-44","18%","0%","0%","100%","0%","0%","35%","17%","16%","16%","28%","0%","19%","17%","7%","0%","15%","16%","22%","18%","0%","0%","25%","21%","14%","17%","20%","16%","33%","20%","17%","18%","20%","13%","50%","21%","17%","16%","18%","19%","20%","38%","13%","20%","13%","0%","51%","0%","18%","17%","14%","26%","18%","16%","18%","16%","17%","24%","21%","14%","17%","17%","22%","23%","17%","20%"
"f89506d3-5b80-450c-8ad9-2fadb723d718","Poll Single Select","What is your age?","45-54","17%","0%","0%","0%","100%","0%","13%","24%","22%","16%","21%","0%","17%","17%","29%","0%","16%","18%","18%","27%","0%","0%","38%","17%","16%","21%","19%","16%","0%","21%","17%","19%","14%","17%","25%","16%","19%","16%","20%","13%","0%","15%","0%","0%","20%","0%","49%","0%","17%","19%","14%","14%","17%","17%","17%","16%","24%","18%","17%","16%","21%","19%","11%","18%","19%","13%"
"f89506d3-5b80-450c-8ad9-2fadb723d718","Poll Single Select","What is your age?","55+","34%","0%","0%","0%","0%","100%","6%","24%","6%","41%","21%","63%","29%","38%","14%","0%","39%","42%","22%","27%","0%","0%","13%","29%","39%","37%","31%","37%","33%","22%","33%","31%","37%","46%","25%","28%","33%","42%","39%","41%","40%","38%","38%","20%","28%","0%","0%","100%","27%","31%","39%","34%","40%","30%","27%","41%","24%","12%","29%","39%","37%","32%","37%","34%","32%","39%"

"Question ID","Question Type","Question","Responses","All(929)","O1: 18-24 (104)","O1: 25-34 (186)","O1: 35-44 (166)","O1: 45-54 (161)","O1: 55+ (312)","O2: Asian (52)","O2: Black (140)","O2: Hispanic (63)","O2: White (627)","O2: Mixed (39)","O2: Other (8)","O3: Male (441)","O3: Female (474)","O3: Other (14)","O3: Prefer not to say (0)","O4: Democrat (325)","O4: Republican (258)","O4: Independant (335)","O4: Other (11)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (8)","O5: High school or GED (462)","O5: College / Bachelors degree (336)","O5: Masters/ PhD or equivalent (123)","O6: A lot (503)","O6: A little (423)","O6: Nothing at all (3)","O7: Almost every day (134)","O7: Once or twice a week (264)","O7: Once or twice a month (205)","O7: Only once or twice ever (182)","O7: Never (140)","O7: Do not know what an AI assistant is (4)","O8: More excited than concerned (292)","O8: Equally concerned and excited (412)","O8: More concerned than excited (225)","O9: Christian - Protestant (301)","O9: Christian - Catholic (150)","O9: Christian - Mormon (5)","O9: Jewish (13)","O9: Muslim (8)","O9: Hindu (5)","O9: Other (85)","Under 34 (290)","33-54 (327)","55+ (312)","O9: None - I do not identify with any religious group or faith (362)","Initial support (633)","Initial unsure (125)","Initial not support (145)","Christian (456)","Religious - non-christian (111)","Non-religious (362)","White (627)","Black (140)","Not white or black (162)","High school or less (470)","College / Bachelors degree (336)","Masters / PhD (123)","FInal support (706)","Final unsure (97)","Final don't support (97)","O10: Yes, the public should help to decide how AI assistants answer difficult questions (698)","O10: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (231)"
"c934eebc-a73b-46bf-8f4c-2c0e66148904","Poll Single Select","What is your ethnicity?","Asian","6%","13%","5%","11%","4%","1%","100%","0%","0%","0%","0%","0%","8%","4%","0%","0%","4%","7%","6%","9%","0%","0%","13%","4%","8%","7%","7%","4%","0%","11%","6%","5%","3%","4%","0%","7%","5%","5%","4%","5%","0%","0%","25%","80%","7%","8%","8%","1%","6%","6%","4%","8%","4%","11%","6%","0%","0%","32%","4%","8%","7%","5%","10%","6%","5%","6%"
"c934eebc-a73b-46bf-8f4c-2c0e66148904","Poll Single Select","What is your ethnicity?","Black","15%","14%","18%","14%","20%","11%","0%","100%","0%","0%","0%","0%","13%","17%","7%","0%","23%","8%","13%","9%","0%","0%","0%","15%","18%","10%","18%","12%","0%","19%","18%","11%","12%","16%","0%","12%","16%","16%","20%","11%","0%","0%","38%","0%","25%","17%","17%","11%","11%","16%","15%","12%","17%","22%","11%","0%","100%","0%","14%","18%","10%","17%","10%","9%","17%","10%"
