,Raising the minimum wage is necessary for workers to earn a livable income and is a step towards addressing income inequality.,A higher minimum wage may lead to increased adoption of automation and robotics in some industries.,"Raising the minimum wage could potentially hurt small businesses and lead to job losses, especially in industries with unskilled or low-skilled workers.",Concerns about the potential consequences of a higher minimum wage include inflation and fairness for higher income populations.,"Some people propose alternatives to raising the minimum wage, such as a guaranteed minimum income or increasing unionization."
215,AGREE,AGREE,DISAGREE,DISAGREE,AGREE
85,DISAGREE,AGREE,AGREE,AGREE,AGREE
33,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE
14,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
55,AGREE,AGREE,DISAGREE,AGREE,AGREE
92,AGREE,AGREE,DISAGREE,DISAGREE,AGREE
56,DISAGREE,AGREE,AGREE,AGREE,AGREE
52,DISAGREE,AGREE,AGREE,AGREE,AGREE
63,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE
6,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
47,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
12,DISAGREE,AGREE,AGREE,AGREE,AGREE
110,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,AGREE,AGREE,DISAGREE,DISAGREE,AGREE
96,DISAGREE,AGREE,AGREE,AGREE,AGREE
5989,AGREE,AGREE,DISAGREE,DISAGREE,AGREE
