,Raising the minimum wage is necessary for workers to earn a livable income and is a step towards addressing income inequality.,A higher minimum wage may lead to increased adoption of automation and robotics in some industries.,"Raising the minimum wage could potentially hurt small businesses and lead to job losses, especially in industries with unskilled or low-skilled workers.",Concerns about the potential consequences of a higher minimum wage include inflation and fairness for higher income populations.,"Some people propose alternatives to raising the minimum wage, such as a guaranteed minimum income or increasing unionization."
215,1,1,-1,-1,1
85,-1,1,1,1,1
33,-1,1,-1,-1,1
14,1,-1,-1,-1,-1
55,1,1,-1,1,1
92,1,1,-1,-1,1
56,-1,1,1,1,1
52,-1,1,1,1,1
63,1,1,-1,-1,-1
6,-1,1,1,1,-1
47,-1,-1,-1,1,-1
12,-1,1,1,1,1
110,-1,1,1,-1,1
28,1,1,1,1,1
15,1,1,-1,-1,1
96,-1,1,1,1,1
5989,1,1,-1,-1,1
