modes,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree
comments,First - ensure that young people feel safe/comfortable to scrutinise policing,Global transparency is a must,Diversity in policing,To have open dialogues with police about why they have negative feelings towards them. Share their personal experiences.,encourage young people into cadets so that they can develop rapports with people who can assist them in the scrutiny of police.,"do regular, independent investigations on police conduct and present data to young people so they can hold conversations about the findings.",Have talks with police officers at events to debate with them about the justice system and what may need to change,educate young people on the history of policing so that they can identify negative/detrimental patterns in police behaviour.,To offer the young people incentives,Allow them to be at the forefront of the decision making
agents,,,,,,,,,,
"(2, (20,))",1,1,1,1,1,1,1,1,1,1
"(14, (34,))",1,1,-1,1,-1,1,1,1,-1,1
"(23, (33,))",1,-1,1,1,1,1,1,1,-1,1
"(17, (23,))",1,1,1,1,1,1,1,1,-1,1
"(11, (24,))",1,1,1,1,1,1,1,1,1,1
"(11, (27,))",1,1,1,1,1,1,1,1,-1,1
"(5, (22,))",1,-1,1,1,1,1,1,1,-1,-1
"(11, (25,))",1,1,-1,1,1,1,1,1,-1,1
"(3, (15,))",-1,-1,-1,1,1,-1,1,1,1,1
"(25, (36,))",1,1,1,1,1,1,1,1,1,1
