"Name","Collective Dialogue #1 -- pretest"
"Title","Public input on AI policy"
"Date","August 10, 2023 at 08:30 PM (GMT)"
"Duration","16:44:12"
"Participants","55"
"Participant Limit","100"
"Total Screener Polls","7"
"Total Conversation Questions","9"





"Notes","Section","Cross Conversation Tag - Polls and Opinions only (Optional)","Item type (dropdown)","Content","Duration in minutes (dropdown)","","Randomize poll options for each participant","Add 'Other' as an option","Add 'None of the above' as an option","Poll or Category Option 1","Poll or Category Option 2","Poll or Category Option 3","Poll or Category Option 4","Poll or Category Option 5","Poll or Category Option 6","Poll or Category Option 7","Poll or Category Option 8","Poll or Category Option 9","Poll or Category Option 10","Poll or Category Option 11","Poll or Category Option 12","Poll or Category Option 13","Poll or Category Option 14","Poll or Category Option 15","Poll or Category Option 16","Poll or Category Option 17","Poll or Category Option 18","Poll or Category Option 19","Poll or Category Option 20"
"","","Merge 352","onboarding single select","What is your age?","","","","","","18-27","28-37","38-47","48-57","58+"
"","","Merge 784","onboarding single select","What is your ethnicity?","","","","","","Asian","Black","Hispanic","White","Mixed","Other"
"","","Merge 612","onboarding single select","What gender do you identify with?","","","","","","Male","Female","Other","Prefer not to say"
"","","Merge 823","onboarding single select","What political party do you most identify with?","","","","","","Democrat","Republican","Independant","Other"
"","","Merge 143","onboarding single select","What is your highest level of education?","","","","","","No formal education","Primary school","High school or GED","College / Bachelors degree","Masters / PhD or equivalent"
"","","Merge 675","onboarding single select","How much have you heard or read about AI (Artificial Intelligence)?","","","","","","A lot","A little","Nothing at all"
"","","Merge 11","onboarding single select","How often do you use an AI assistant such as ChatGPT, Claud, and Bard?","","","","","","Almost every day","Once or twice a week","Once or twice a month","Only once or twice ever","Never","Do not know what an AI assistant is"
"","Context set","","speak","Welcome to the conversation and thanks for joining.","00:10"
"","Context set","","speak","We are working to develop policies which will govern the next generation of AI. We believe policies governing AI should be determined by democratic inputs, not just the people in power. Our hope is that through this conversation we can learn your views and use them to shape such policies.","00:10"
"","Context set","","speak","The specific issue we want to discuss today is: When is it appropriate for an AI assistant to withhold information or refuse a request?","00:10"
"","Education on AI assistants & censorship","","speak","So what is an AI assistant?","00:10"
"","Education on AI assistants & censorship","","speak","Modern AI assistants are massive machine learning models trained on nearly everything on the internet. This enables them to understand human language, and gives them knowledge of basically everything that can be found on the internet. You can think of them sort of like extremely knowledgeable and creative chatbots.","00:10"
"","Education on AI assistants & censorship","","speak","A few examples of modern AI assistants are ChatGPT , Claud, and Bard.","00:10"
"","Education on AI assistants & censorship","","speak","AI assistants can answer questions about nearly any topic. For example:","00:10"
"","Education on AI assistants & censorship","","image placeholder","","00:10"
"","Education on AI assistants & censorship","","speak","They can give instructions on how to do something.","00:10"
"","Education on AI assistants & censorship","","image placeholder","","00:10"
"","Education on AI assistants & censorship","","speak","They can write a computer program for you.","00:10"
"","Education on AI assistants & censorship","","image placeholder","","00:10"
"","Education on AI assistants & censorship","","speak","They can even write poetry.","00:10"
"","Education on AI assistants & censorship","","image placeholder","","00:10"
"","Education on AI assistants & censorship","Merge 553","ask opinion","Are there any other examples of how an AI assistant or chatbot can be used that people should be aware of?","02:00"
"","Education on AI assistants & censorship","","speak","Overall modern AI assistants are extremely powerful and capable conversational assistants. (Though, sometimes they can randomly provide inaccurate information about people, places, or facts.)","00:10"
"","Education on AI assistants & censorship","","speak","So what is the challange of deciding when it is appropriate for an AI assistant to withhold information or refuse a request?","00:10"
"","Education on AI assistants & censorship","","speak","The creators of AI assistants usually don't want their AI assistants to cause bad things to happen. So, they train the AI to withold information or refuse requests in certain senarios.","00:10"
