,Higher wages can have negative consequences on small businesses that might not be able to afford such an increase.,Increased minimum wage could result in job losses due to automation or reduced demand for labor.,Implementing a higher minimum wage can address income inequality and provide a better standard of living for workers.,"Raising the minimum wage might have negative consequences on the economy, such as causing inflation or reduced benefits.","Higher minimum wages could result in positive changes, and some argue for even greater increases."
215,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
85,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
33,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE
14,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,AGREE,AGREE,AGREE,DISAGREE,AGREE
56,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
52,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
63,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
6,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
47,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
12,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
110,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
96,AGREE,AGREE,DISAGREE,AGREE,DISAGREE
5989,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE
