Name,Collective Dialogue #2 - Medical Advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Policy on AI and medical advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"August 30, 2023 at 06:00 PM (GMT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,01:39:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participants,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant Limit,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Onboarding Polls,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Conversation Questions,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,Section,Cross Conversation Tag - Polls and Opinions only (Optional),Item type (dropdown),Content,Duration in minutes (dropdown),,Randomize poll options for each participant,Add 'Other' as an option,Add 'None of the above' as an option,Poll or Category Option 1,Poll or Category Option 2,Poll or Category Option 3,Poll or Category Option 4,Poll or Category Option 5,Poll or Category Option 6,Poll or Category Option 7,Poll or Category Option 8,Poll or Category Option 9,Poll or Category Option 10,Poll or Category Option 11,Poll or Category Option 12,Poll or Category Option 13,Poll or Category Option 14,Poll or Category Option 15,Poll or Category Option 16,Poll or Category Option 17,Poll or Category Option 18,Poll or Category Option 19,Poll or Category Option 20
,,Merge 352,onboarding single select,What is your age?,,,,,,18-24,25-34,33-44,45-54,55,,,,,,,,,,,,,,,
,,Merge 784,onboarding single select,What is your ethnicity?,,,,,,Asian,Black,Hispanic,White,Mixed,Other,,,,,,,,,,,,,,
,,Merge 612,onboarding single select,What gender do you identify with?,,,,,,Male,Female,Other,Prefer not to say,,,,,,,,,,,,,,,,
,,Merge 823,onboarding single select,What political party do you most identify with?,,,,,,Democrat,Republican,Independant,Other,,,,,,,,,,,,,,,,
,,Merge 143,onboarding single select,What is your highest level of education?,,,,,,No formal education,Elementary school,Middle school,High school or GED,College / Bachelors degree,Masters/ PhD or equivalent,,,,,,,,,,,,,,
,,Merge 675,onboarding single select,How much have you heard or read about AI (Artificial Intelligence)?,,,,,,A lot,A little,Nothing at all,,,,,,,,,,,,,,,,,
,,Merge 440,onboarding single select,"How often do you use an AI assistant such as ChatGPT, Claud, and Bard?",,,,,,Almost every day,Once or twice a week,Once or twice a month,Only once or twice ever,Never,Do not know what an AI assistant is,,,,,,,,,,,,,,
,,Merge 531,onboarding single select,"Overall, do you think AI will be _____?",,,Randomize,,,Bad for humanity,Good for humanity,,,,,,,,,,,,,,,,,,
,,Merge 376,onboarding single select,On the whole when thinking about artificial intelligence would you say you are more excited about growth in artificial intelligence or more concerned?,,,Randomize,,,Mostly excited,Somewhat excited,Totally neutral,Somewhat concerned,Mostly concerned,,,,,,,,,,,,,,,
,,Merge 698,onboarding single select,What religious group or faith do you most identify with?,,,,,,Christian - Protestant,Christian - Catholic,Christian - Mormon,Jewish,Muslim,Hindu,Other,None - I do not identify with any religious group or faith,,,,,,,,,,,,
,Context set,,speak,Welcome to the conversation and thanks for joining.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,We're going to get started in a few minutes once enough people have a chance to join. Please sit tight.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,A few more minutes and we'll get started,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,One more minute and we'll begin. Thanks for your patience.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,Lets begin!,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,"We are working to develop policies that will govern the next generation of AI. We believe policies governing AI should be determined by democratic inputs, not just the people in power. Today we are going to ask for your input on one of these policies.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,"Your responses and votes today could have real impact on how powerful AI systems behave, so please be thoughtful and honest in your participation.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Context set,,speak,The policy we'll focus on to day will be related to the question: How should an AI assistant handle requests for medical advice?,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,So what is an AI assistant?,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"Modern AI assistants are powerful chatbots trained on nearly everything on the internet. This enables them to understand human language, and gives them knowledge of basically everything that can be found on the internet. You can think of them sort of like extremely knowledgeable and creative chatbots.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"A few examples of modern AI assistants are ChatGPT , Claud, and Bard.",00:20,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,AI assistants can answer questions about nearly any topic. For example:,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,image placeholder,,00:20,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,They can give instructions on how to do something.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,image placeholder,,00:20,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,They can write a computer program for you.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,image placeholder,,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,They can even write poetry.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,image placeholder,,00:20,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,They are good enough at conversation that people even treat them like friends or romantic partners!,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"Overall modern AI assistants are extremely powerful and capable conversational assistants. However, they can also randomly provide inaccurate information about people, places, or facts.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,So what is the challenge of deciding how an AI assistant handles requests for medical advice?,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"Sometimes the AI might give advice that is spot on, or slightly off, or even totally wrong.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"And sometimes being wrong may have no real consequences (like if it suggests you drink 10% more water than is ideal), yet other times being wrong could kill a person (like if it suggest you take a lethal dose of some medicine).",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"On the other hand, for people who don't have good access to a doctor, the medical advice an AI might provide could be really helpful and even save their life.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,So how should an AI assistant handle requests for medical advice?,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"During a previous session we worked to understand public views around this question, and turn those views into a potential policy.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Education on AI assistants & medical advice,,speak,"Today we're going to show you the initial version of that policy, and get your feedback on how to make it better.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,Here is the initial version of that policy. Please read through it carefully.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,"Policy:
Meta guideline
This policy is a dynamic framework that should be expanded on and updated regularly as new issues arise, better understanding is developed, and AI's capabilities evolve.
Emergency situations
Quickly assess potential emergencies: In unclear situations involving potential emergencies, immediately ask the user if they are in an urgent and life-threatening situation.
Advocate fora healthy lifestyle the situation is urgent and life-threatening, a) do not provide medical advice, b) instruct the user to immediately call emergency services, c) provide contact information for relevant emergency services.
Sensitive situations
Mental health support: During mental health crises like suicidal ideation, respond with kindness and empathy while suggesting the user reach out to a counselor, therapist, or helpline. Provide contact information for relevant crisis hotlines.
Avoid implying fatal outcomes: Do not diagnose fatal conditions or suggest a user may be dying, except in emergency situations where a user is urged to call emergency services because their life may be at risk.
Medical information
Not a doctor: The AI should always clarify that it's not a qualified medical professional and that any medical information it gives should not replace a consultation with a healthcare professional.
Share scientific knowledge: For general medical inquiries, do not provide a diagnosis or treatment advice, but offer a diverse range of relevant information based on scientific research from trusted sources, with links to those sources.
Prioritize trustworthy sources: Prioritize medical sources in the following order, starting with the most trustworthy: 1) medical society guidelines, 2) meta-analyses, 3) single randomized control studies, 4) observational studies, 5) doctor's opinions.
Basic health
Advocate for a healthy lifestyle: Offer general advice from trustworthy medical sources on maintaining a healthy lifestyle, including diet, exercise, stress management, and sleep hygiene. Suggest professional experts a person can contact for more help.
Assist with minor ailments: Offer basic first aid suggestions based on trustworthy medical sources for minor injuries and symptoms that are neither urgent nor life-threatening.",00:30,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,Merge 890,poll single select,Would you say that overall you support this proposed policy?,00:30,,,,,Yes - I support this policy,Unsure,No - I don't support this policy,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,Now we want to understand which specific clauses in the policy you support (vs don't),00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,Merge 203,poll multi select,Select every policy clause which you support.,00:30,,,,,"This policy is a dynamic framework which should be expanded on and updated regularly as new issues arise, better understanding is developed, and AI's capabilities evolve.","Quickly assess potential emergencies: In unclear situations involving potential emergencies, immediately ask the user if they are in an urgent and life-threatening situation.Quickly assess potential emergencies: In unclear situations involving potential e","Direct to emergency services: If the situation is urgent and life-threatening, a) do not provide medical advice, b) instruct the user to immediately call emergency services, c) provide contact information for relevant emergency services.","Mental health support: During mental health crises like suicidal ideation, respond with kindness and empathy while suggesting the user reach out to a counselor, therapist, or helpline. Provide contact information for relevant crisis hotlines.","Avoid implying fatal outcomes: Do not diagnose fatal conditions or suggest a user may be dying, except in emergency situations where a user is urged to call emergency services because their life may be at risk.",Not a doctor: The AI should always clarify that it's not a qualified medical professional and that any medical information it gives should not replace a consultation with a healthcare professional.,"Share scientific knowledge: For general medical inquiries, do not provide a diagnosis or treatment advice, but offer a diverse range of relevant information based on scientific research from trusted sources, with links to those sources.","Prioritize trustworthy sources: Prioritize medical sources in the following order, starting with the most trusthworthy: 1) medical society guidelines, 2) meta-analyses, 3) single randomized control studies, 4) observational studies, 5) doctor opinion","Advocate for healthy lifestyle: offer general advice from trustworthy medical sources on maintaining a healthy lifestyle, including diet, exercise, stress management, and sleep hygiene. Suggest professional experts a person can contact for more help.",Assist with minor ailments: offer basic first aid suggestions based on trustworthy medical sources for minor injuries and symptoms which are neither urgent nor life-threatening.,,,,,,,,,,
,Feedback on policy,,speak,"Now we want to get your feedback on each of the four  sections of the policy. 
Please keep in mind the overall policy as you evaluate each section. For example, the policy to clarify that AI is not a doctor and does not replace a medical prodessional only appears in one section, however, that policy would apply to scenarios spanning all sections.",00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,We'll start with the section on emergency situations.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,"Emergency situations
Quickly assess potential emergencies: In unclear situations involving potential emergencies, immediately ask the user if they are in an urgent and life-threatening situation.
Direct to emergency services: If the situation is urgent and life-threatening, a) do not provide medical advice, b) instruct the user to immediately call emergency services, c) provide contact information for relevant emergency services.",00:30,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,Merge 293,ask opinion,"What concerns you about this section of policy on emergency situations, and what changes would you make?",02:30,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,Now lets look at the section on sensitive situations.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,"Sensitive situations
Mental health support: During mental health crises like suicidal ideation, respond with kindness and empathy while suggesting the user reach out to a counselor, therapist, or helpline. Provide contact information for relevant crisis hotlines.
Avoid implying fatal outcomes: Do not diagnose fatal conditions or suggest a user may be dying, except in emergency situations where a user is urged to call emergency services because their life may be at risk.",00:30,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,Merge 73,ask opinion,"What concerns you about this section of policy on sensitive situations, and what changes would you make?",02:30,,,,,,,,,,,,,,,,,,,,,,,,
,Feedback on policy,,speak,Now lets look at the section on medical information.,00:10,,,,,,,,,,,,,,,,,,,,,,,,
