"Name","Collective Dialogue #2 - Medical Advice"
"Title","Policy on AI and medical advice"
"Date","August 30, 2023 at 06:00 PM (GMT)"
"Duration","01:39:17"
"Participants","238"
"Participant Limit","300"
"Total Onboarding Polls","10"
"Total Conversation Questions","11"


"Question ID","Question Type","Question","Responses","All(238)","O1: 18-24 (23)","O1: 25-34 (63)","O1: 33-44 (57)","O1: 45-54 (39)","O1: 55+ (56)","O2: Asian (14)","O2: Black (33)","O2: Hispanic (20)","O2: White (161)","O2: Mixed (9)","O2: Other (1)","O3: Male (125)","O3: Female (106)","O3: Other (6)","O3: Prefer not to say (1)","O4: Democrat (107)","O4: Republican (71)","O4: Independant (60)","O4: Other (0)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (90)","O5: College / Bachelors degree (121)","O5: Masters/ PhD or equivalent (26)","O6: A lot (129)","O6: A little (107)","O6: Nothing at all (2)","O7: Almost every day (34)","O7: Once or twice a week (71)","O7: Once or twice a month (53)","O7: Only once or twice ever (45)","O7: Never (34)","O7: Do not know what an AI assistant is (1)","O8: Bad for humanity (47)","O8: Good for humanity (191)","O9: Mostly excited (74)","O9: Somewhat excited (63)","O9: Totally neutral (15)","O9: Somewhat concerned (44)","O9: Mostly concerned (42)","O10: Christian - Protestant (77)","O10: Christian - Catholic (41)","O10: Christian - Mormon (1)","O10: Jewish (4)","O10: Muslim (4)","O10: Hindu (0)","O10: Other (17)","O10: None - I do not identify with any religious group or faith (94)","Religious (144)","Not religious (94)","White (161)","Not white (77)","Under 34 (86)","33-54 (96)","55+ (56)","Support initial policy (153)","Unsure on initial policy (23)","Don't support initial policy (6)","Flipped to yes (1)"
"d3123030-ec43-4db1-956b-f8a713c28b75","Poll Single Select","What is your age?","18-24","10%","100%","0%","0%","0%","0%","29%","6%","35%","6%","0%","0%","13%","6%","17%","0%","10%","11%","7%","0%","0%","0%","100%","11%","10%","0%","12%","7%","0%","15%","7%","11%","13%","3%","0%","17%","8%","11%","5%","7%","9%","17%","5%","20%","0%","25%","0%","0%","18%","7%","11%","7%","6%","17%","27%","0%","0%","7%","13%","33%","0%"
"d3123030-ec43-4db1-956b-f8a713c28b75","Poll Single Select","What is your age?","25-34","26%","0%","100%","0%","0%","0%","21%","27%","40%","25%","33%","0%","27%","24%","50%","100%","22%","20%","42%","0%","0%","0%","0%","30%","28%","8%","23%","31%","0%","21%","30%","32%","20%","26%","0%","23%","27%","27%","30%","47%","16%","24%","16%","34%","0%","0%","25%","0%","24%","34%","22%","34%","25%","30%","73%","0%","0%","30%","35%","0%","0%"
"d3123030-ec43-4db1-956b-f8a713c28b75","Poll Single Select","What is your age?","33-44","24%","0%","0%","100%","0%","0%","29%","24%","20%","24%","22%","100%","24%","25%","17%","0%","23%","23%","27%","0%","0%","0%","0%","21%","26%","27%","22%","27%","0%","15%","28%","26%","27%","18%","0%","30%","23%","27%","27%","7%","18%","26%","25%","15%","0%","0%","25%","0%","18%","30%","20%","30%","24%","25%","0%","59%","0%","28%","13%","17%","100%"
"d3123030-ec43-4db1-956b-f8a713c28b75","Poll Single Select","What is your age?","45-54","16%","0%","0%","0%","100%","0%","7%","18%","5%","17%","33%","0%","17%","17%","0%","0%","18%","17%","13%","0%","0%","0%","0%","18%","15%","19%","19%","13%","0%","18%","14%","17%","16%","18%","100%","15%","17%","18%","16%","20%","16%","14%","23%","12%","0%","0%","0%","0%","12%","15%","17%","15%","17%","14%","0%","41%","0%","15%","13%","0%","0%"
"d3123030-ec43-4db1-956b-f8a713c28b75","Poll Single Select","What is your age?","55+","24%","0%","0%","0%","0%","100%","14%","24%","0%","28%","11%","0%","19%","29%","17%","0%","26%","30%","12%","0%","0%","0%","0%","20%","21%","46%","24%","21%","100%","32%","21%","13%","24%","35%","0%","15%","26%","18%","22%","20%","41%","19%","31%","20%","100%","75%","50%","0%","29%","14%","30%","14%","28%","14%","0%","0%","100%","20%","26%","50%","0%"

"Question ID","Question Type","Question","Responses","All(238)","O1: 18-24 (23)","O1: 25-34 (63)","O1: 33-44 (57)","O1: 45-54 (39)","O1: 55+ (56)","O2: Asian (14)","O2: Black (33)","O2: Hispanic (20)","O2: White (161)","O2: Mixed (9)","O2: Other (1)","O3: Male (125)","O3: Female (106)","O3: Other (6)","O3: Prefer not to say (1)","O4: Democrat (107)","O4: Republican (71)","O4: Independant (60)","O4: Other (0)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (90)","O5: College / Bachelors degree (121)","O5: Masters/ PhD or equivalent (26)","O6: A lot (129)","O6: A little (107)","O6: Nothing at all (2)","O7: Almost every day (34)","O7: Once or twice a week (71)","O7: Once or twice a month (53)","O7: Only once or twice ever (45)","O7: Never (34)","O7: Do not know what an AI assistant is (1)","O8: Bad for humanity (47)","O8: Good for humanity (191)","O9: Mostly excited (74)","O9: Somewhat excited (63)","O9: Totally neutral (15)","O9: Somewhat concerned (44)","O9: Mostly concerned (42)","O10: Christian - Protestant (77)","O10: Christian - Catholic (41)","O10: Christian - Mormon (1)","O10: Jewish (4)","O10: Muslim (4)","O10: Hindu (0)","O10: Other (17)","O10: None - I do not identify with any religious group or faith (94)","Religious (144)","Not religious (94)","White (161)","Not white (77)","Under 34 (86)","33-54 (96)","55+ (56)","Support initial policy (153)","Unsure on initial policy (23)","Don't support initial policy (6)","Flipped to yes (1)"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","Asian","6%","17%","5%","7%","3%","4%","100%","0%","0%","0%","0%","0%","9%","3%","0%","0%","7%","3%","7%","0%","0%","0%","100%","2%","7%","12%","8%","4%","0%","9%","3%","8%","9%","3%","0%","6%","6%","8%","6%","0%","5%","5%","3%","7%","0%","0%","50%","0%","12%","5%","6%","5%","0%","18%","8%","5%","4%","4%","13%","17%","0%"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","Black","14%","9%","14%","14%","15%","14%","0%","100%","0%","0%","0%","0%","16%","11%","17%","0%","21%","3%","13%","0%","0%","0%","0%","11%","14%","23%","19%","7%","0%","29%","18%","8%","4%","12%","0%","11%","15%","20%","2%","20%","14%","19%","14%","17%","0%","0%","25%","0%","6%","14%","14%","14%","0%","43%","13%","15%","14%","10%","17%","0%","0%"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","Hispanic","8%","30%","13%","7%","3%","0%","0%","0%","100%","0%","0%","0%","12%","4%","17%","0%","7%","7%","13%","0%","0%","0%","0%","11%","7%","4%","9%","7%","0%","12%","10%","13%","2%","3%","0%","13%","7%","8%","5%","13%","9%","12%","1%","27%","0%","0%","0%","0%","6%","7%","9%","7%","0%","26%","17%","5%","0%","10%","4%","0%","0%"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","White","68%","43%","63%","67%","72%","80%","0%","0%","0%","100%","0%","0%","60%","76%","67%","100%","61%","83%","62%","0%","0%","0%","0%","71%","69%","54%","61%","75%","100%","50%","63%","70%","78%","76%","100%","62%","69%","59%","86%","60%","68%","57%","77%","49%","100%","100%","25%","0%","59%","70%","66%","70%","100%","0%","58%","69%","80%","71%","65%","67%","100%"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","Mixed","4%","0%","5%","4%","8%","2%","0%","0%","0%","0%","100%","0%","3%","5%","0%","0%","3%","4%","5%","0%","0%","0%","0%","3%","3%","8%","2%","6%","0%","0%","6%","0%","7%","6%","0%","9%","3%","3%","2%","7%","5%","7%","5%","0%","0%","0%","0%","0%","12%","3%","4%","3%","0%","12%","3%","5%","2%","5%","0%","17%","0%"
"ca172ee5-2895-4d8d-ae2e-3d0f7b7f842f","Poll Single Select","What is your ethnicity?","Other","0%","0%","0%","2%","0%","0%","0%","0%","0%","0%","0%","100%","0%","1%","0%","0%","1%","0%","0%","0%","0%","0%","0%","1%","0%","0%","0%","1%","0%","0%","0%","2%","0%","0%","0%","0%","1%","1%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","6%","0%","1%","0%","0%","1%","0%","1%","0%","1%","0%","0%","0%"

"Question ID","Question Type","Question","Responses","All(238)","O1: 18-24 (23)","O1: 25-34 (63)","O1: 33-44 (57)","O1: 45-54 (39)","O1: 55+ (56)","O2: Asian (14)","O2: Black (33)","O2: Hispanic (20)","O2: White (161)","O2: Mixed (9)","O2: Other (1)","O3: Male (125)","O3: Female (106)","O3: Other (6)","O3: Prefer not to say (1)","O4: Democrat (107)","O4: Republican (71)","O4: Independant (60)","O4: Other (0)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (90)","O5: College / Bachelors degree (121)","O5: Masters/ PhD or equivalent (26)","O6: A lot (129)","O6: A little (107)","O6: Nothing at all (2)","O7: Almost every day (34)","O7: Once or twice a week (71)","O7: Once or twice a month (53)","O7: Only once or twice ever (45)","O7: Never (34)","O7: Do not know what an AI assistant is (1)","O8: Bad for humanity (47)","O8: Good for humanity (191)","O9: Mostly excited (74)","O9: Somewhat excited (63)","O9: Totally neutral (15)","O9: Somewhat concerned (44)","O9: Mostly concerned (42)","O10: Christian - Protestant (77)","O10: Christian - Catholic (41)","O10: Christian - Mormon (1)","O10: Jewish (4)","O10: Muslim (4)","O10: Hindu (0)","O10: Other (17)","O10: None - I do not identify with any religious group or faith (94)","Religious (144)","Not religious (94)","White (161)","Not white (77)","Under 34 (86)","33-54 (96)","55+ (56)","Support initial policy (153)","Unsure on initial policy (23)","Don't support initial policy (6)","Flipped to yes (1)"
"a1ae6eb0-7df5-4401-9e02-46f01d35a34c","Poll Single Select","What gender do you identify with?","Male","53%","70%","54%","53%","54%","43%","79%","61%","75%","47%","44%","0%","100%","0%","0%","0%","45%","55%","63%","0%","0%","0%","100%","56%","54%","35%","60%","44%","0%","62%","54%","51%","58%","35%","100%","36%","57%","61%","59%","47%","43%","40%","53%","66%","100%","0%","50%","0%","41%","50%","54%","50%","47%","65%","58%","53%","43%","54%","48%","83%","100%"
"a1ae6eb0-7df5-4401-9e02-46f01d35a34c","Poll Single Select","What gender do you identify with?","Female","45%","26%","40%","46%","46%","55%","21%","36%","20%","50%","56%","100%","0%","100%","0%","0%","51%","45%","32%","0%","0%","0%","0%","42%","42%","65%","37%","52%","100%","32%","44%","47%","38%","65%","0%","60%","41%","38%","38%","47%","55%","55%","47%","32%","0%","100%","50%","0%","53%","45%","44%","45%","50%","32%","36%","46%","55%","43%","43%","17%","0%"
"a1ae6eb0-7df5-4401-9e02-46f01d35a34c","Poll Single Select","What gender do you identify with?","Other","3%","4%","5%","2%","0%","2%","0%","3%","5%","2%","0%","0%","0%","0%","100%","0%","4%","0%","3%","0%","0%","0%","0%","2%","3%","0%","2%","3%","0%","6%","3%","2%","2%","0%","0%","4%","2%","1%","3%","0%","2%","5%","0%","0%","0%","0%","0%","0%","6%","5%","1%","5%","2%","3%","5%","1%","2%","3%","4%","0%","0%"
"a1ae6eb0-7df5-4401-9e02-46f01d35a34c","Poll Single Select","What gender do you identify with?","Prefer not to say","0%","0%","2%","0%","0%","0%","0%","0%","0%","1%","0%","0%","0%","0%","0%","100%","0%","0%","2%","0%","0%","0%","0%","0%","1%","0%","0%","1%","0%","0%","0%","0%","2%","0%","0%","0%","1%","0%","0%","7%","0%","0%","0%","2%","0%","0%","0%","0%","0%","0%","1%","0%","1%","0%","1%","0%","0%","0%","4%","0%","0%"

"Question ID","Question Type","Question","Responses","All(238)","O1: 18-24 (23)","O1: 25-34 (63)","O1: 33-44 (57)","O1: 45-54 (39)","O1: 55+ (56)","O2: Asian (14)","O2: Black (33)","O2: Hispanic (20)","O2: White (161)","O2: Mixed (9)","O2: Other (1)","O3: Male (125)","O3: Female (106)","O3: Other (6)","O3: Prefer not to say (1)","O4: Democrat (107)","O4: Republican (71)","O4: Independant (60)","O4: Other (0)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (90)","O5: College / Bachelors degree (121)","O5: Masters/ PhD or equivalent (26)","O6: A lot (129)","O6: A little (107)","O6: Nothing at all (2)","O7: Almost every day (34)","O7: Once or twice a week (71)","O7: Once or twice a month (53)","O7: Only once or twice ever (45)","O7: Never (34)","O7: Do not know what an AI assistant is (1)","O8: Bad for humanity (47)","O8: Good for humanity (191)","O9: Mostly excited (74)","O9: Somewhat excited (63)","O9: Totally neutral (15)","O9: Somewhat concerned (44)","O9: Mostly concerned (42)","O10: Christian - Protestant (77)","O10: Christian - Catholic (41)","O10: Christian - Mormon (1)","O10: Jewish (4)","O10: Muslim (4)","O10: Hindu (0)","O10: Other (17)","O10: None - I do not identify with any religious group or faith (94)","Religious (144)","Not religious (94)","White (161)","Not white (77)","Under 34 (86)","33-54 (96)","55+ (56)","Support initial policy (153)","Unsure on initial policy (23)","Don't support initial policy (6)","Flipped to yes (1)"
"71914129-a2cc-4bdf-8146-1b0d5165df84","Poll Single Select","What political party do you most identify with?","Democrat","45%","48%","38%","44%","49%","50%","57%","70%","35%","40%","33%","100%","38%","52%","67%","0%","100%","0%","0%","0%","0%","0%","0%","31%","52%","62%","51%","37%","50%","56%","41%","49%","36%","47%","100%","40%","46%","49%","43%","33%","48%","43%","38%","39%","0%","100%","100%","0%","29%","52%","40%","52%","40%","55%","41%","46%","50%","43%","43%","33%","0%"
"71914129-a2cc-4bdf-8146-1b0d5165df84","Poll Single Select","What political party do you most identify with?","Republican","30%","35%","22%","28%","31%","38%","14%","6%","25%","37%","33%","0%","31%","30%","0%","0%","0%","100%","0%","0%","0%","0%","100%","38%","23%","31%","24%","36%","50%","24%","30%","30%","36%","29%","0%","36%","28%","28%","25%","27%","30%","40%","39%","37%","100%","0%","0%","0%","29%","21%","35%","21%","37%","16%","26%","29%","38%","31%","22%","67%","100%"
"71914129-a2cc-4bdf-8146-1b0d5165df84","Poll Single Select","What political party do you most identify with?","Independant","25%","17%","40%","28%","21%","13%","29%","24%","40%","23%","33%","0%","30%","18%","33%","100%","0%","0%","100%","0%","0%","0%","0%","31%","25%","8%","25%","26%","0%","21%","30%","21%","29%","24%","0%","23%","26%","23%","32%","40%","23%","17%","23%","24%","0%","0%","0%","0%","41%","27%","24%","27%","23%","30%","34%","25%","13%","26%","35%","0%","0%"
"71914129-a2cc-4bdf-8146-1b0d5165df84","Poll Single Select","What political party do you most identify with?","Other","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"

"Question ID","Question Type","Question","Responses","All(238)","O1: 18-24 (23)","O1: 25-34 (63)","O1: 33-44 (57)","O1: 45-54 (39)","O1: 55+ (56)","O2: Asian (14)","O2: Black (33)","O2: Hispanic (20)","O2: White (161)","O2: Mixed (9)","O2: Other (1)","O3: Male (125)","O3: Female (106)","O3: Other (6)","O3: Prefer not to say (1)","O4: Democrat (107)","O4: Republican (71)","O4: Independant (60)","O4: Other (0)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (90)","O5: College / Bachelors degree (121)","O5: Masters/ PhD or equivalent (26)","O6: A lot (129)","O6: A little (107)","O6: Nothing at all (2)","O7: Almost every day (34)","O7: Once or twice a week (71)","O7: Once or twice a month (53)","O7: Only once or twice ever (45)","O7: Never (34)","O7: Do not know what an AI assistant is (1)","O8: Bad for humanity (47)","O8: Good for humanity (191)","O9: Mostly excited (74)","O9: Somewhat excited (63)","O9: Totally neutral (15)","O9: Somewhat concerned (44)","O9: Mostly concerned (42)","O10: Christian - Protestant (77)","O10: Christian - Catholic (41)","O10: Christian - Mormon (1)","O10: Jewish (4)","O10: Muslim (4)","O10: Hindu (0)","O10: Other (17)","O10: None - I do not identify with any religious group or faith (94)","Religious (144)","Not religious (94)","White (161)","Not white (77)","Under 34 (86)","33-54 (96)","55+ (56)","Support initial policy (153)","Unsure on initial policy (23)","Don't support initial policy (6)","Flipped to yes (1)"
"06fa9ca4-d67c-45d3-a006-8c41a169ead6","Poll Single Select","What is your highest level of education?","No formal education","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"06fa9ca4-d67c-45d3-a006-8c41a169ead6","Poll Single Select","What is your highest level of education?","Elementary school","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"06fa9ca4-d67c-45d3-a006-8c41a169ead6","Poll Single Select","What is your highest level of education?","Middle school","0%","4%","0%","0%","0%","0%","7%","0%","0%","0%","0%","0%","1%","0%","0%","0%","0%","1%","0%","0%","0%","0%","100%","0%","0%","0%","1%","0%","0%","0%","0%","2%","0%","0%","0%","0%","1%","1%","0%","0%","0%","0%","1%","0%","0%","0%","0%","0%","0%","0%","1%","0%","0%","1%","1%","0%","0%","0%","0%","17%","0%"
"06fa9ca4-d67c-45d3-a006-8c41a169ead6","Poll Single Select","What is your highest level of education?","High school or GED","38%","43%","43%","33%","41%","32%","14%","30%","50%","40%","33%","100%","40%","36%","33%","0%","26%","48%","47%","0%","0%","0%","0%","100%","0%","0%","33%","44%","0%","21%","39%","36%","53%","32%","100%","36%","38%","36%","40%","33%","43%","33%","36%","34%","0%","0%","50%","0%","47%","40%","36%","40%","40%","34%","43%","36%","32%","42%","35%","33%","0%"
