,A higher minimum wage may lead to difficulties for small businesses and potential job losses.,Raising the minimum wage is an attempt to address income inequality.,Increasing the minimum wage could accelerate the adoption of automation and robotics in low-skilled jobs.,Implementation of a higher minimum wage may result in inflation and negatively impact higher income individuals.,"Some individuals believe the minimum wage should be raised even higher than the proposed amount, such as $20 or $25 per hour."
215,-1,1,1,-1,1
85,1,1,1,1,-1
33,-1,1,1,-1,-1
14,-1,1,-1,-1,-1
55,1,1,1,1,1
92,-1,1,1,1,1
56,1,1,1,1,-1
52,1,1,1,1,-1
63,-1,1,-1,-1,1
6,1,1,1,1,-1
47,1,-1,-1,-1,-1
12,1,1,1,1,-1
110,1,1,1,-1,-1
28,1,1,1,1,1
15,-1,1,1,-1,1
96,1,1,1,1,-1
5989,-1,1,1,-1,1
