"Name","Collective Dialogue #1 - Medical Advice"
"Title","AI assistants and medical advice"
"Date","August 18, 2023 at 07:55 PM (GMT)"
"Duration","01:13:31"
"Participants","222"
"Participant Limit","1000"
"Total Onboarding Polls","10"
"Total Conversation Questions","13"


"Question ID","Question Type","Question","Responses","All(222)","O1: 18-24 (17)","O1: 25-34 (51)","O1: 33-44 (52)","O1: 45-54 (46)","O1: 55+ (56)","O2: Asian (15)","O2: Black (34)","O2: Hispanic (9)","O2: White (159)","O2: Mixed (3)","O2: Other (2)","O3: Male (120)","O3: Female (100)","O3: Other (2)","O3: Prefer not to say (0)","O4: Democrat (98)","O4: Republican (62)","O4: Independant (61)","O4: Other (1)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (61)","O5: College / Bachelors degree (131)","O5: Masters/ PhD or equivalent (30)","O6: A lot (132)","O6: A little (89)","O6: Nothing at all (1)","O7: Almost every day (46)","O7: Once or twice a week (81)","O7: Once or twice a month (41)","O7: Only once or twice ever (30)","O7: Never (24)","O7: Do not know what an AI assistant is (0)","O8: Bad for humanity (47)","O8: Good for humanity (175)","O9: Mostly excited (76)","O9: Somewhat excited (49)","O9: Totally neutral (17)","O9: Somewhat concerned (52)","O9: Mostly concerned (28)","O10: Christian - Protestant (73)","O10: Christian - Catholic (34)","O10: Christian - Mormon (2)","O10: Jewish (8)","O10: Muslim (2)","O10: Hindu (1)","O10: Other (12)","O10: None - I do not identify with any religious group or faith (90)","Religious (132)","Not religious (90)","White (159)","Not white (63)","Under 34 (68)","33-54 (98)","55+ (56)"
"ac8813fd-3c4d-446a-87d4-23d33847f890","Poll Single Select","What is your age?","18-24","8%","100%","0%","0%","0%","0%","20%","9%","11%","6%","33%","0%","7%","9%","0%","0%","8%","5%","10%","0%","0%","0%","0%","3%","11%","0%","6%","10%","0%","4%","6%","7%","17%","8%","0%","17%","5%","3%","8%","12%","13%","7%","5%","0%","0%","25%","0%","0%","8%","11%","5%","11%","6%","13%","25%","0%","0%"
"ac8813fd-3c4d-446a-87d4-23d33847f890","Poll Single Select","What is your age?","25-34","23%","0%","100%","0%","0%","0%","60%","24%","44%","18%","67%","0%","27%","19%","0%","0%","19%","19%","33%","0%","0%","0%","0%","38%","18%","17%","20%","28%","0%","15%","26%","27%","20%","25%","0%","28%","22%","26%","18%","12%","15%","43%","22%","35%","50%","13%","50%","0%","25%","19%","26%","19%","18%","37%","75%","0%","0%"
"ac8813fd-3c4d-446a-87d4-23d33847f890","Poll Single Select","What is your age?","33-44","23%","0%","0%","100%","0%","0%","13%","15%","11%","28%","0%","0%","25%","20%","100%","0%","27%","16%","25%","100%","0%","0%","0%","23%","25%","17%","26%","20%","0%","30%","21%","24%","23%","17%","0%","30%","22%","28%","20%","29%","21%","18%","16%","21%","0%","13%","50%","100%","25%","30%","19%","30%","28%","13%","0%","53%","0%"
"ac8813fd-3c4d-446a-87d4-23d33847f890","Poll Single Select","What is your age?","45-54","21%","0%","0%","0%","100%","0%","0%","38%","22%","19%","0%","0%","18%","24%","0%","0%","19%","31%","13%","0%","0%","0%","0%","20%","20%","27%","27%","12%","0%","28%","22%","17%","10%","21%","0%","9%","24%","21%","29%","18%","19%","11%","25%","24%","0%","0%","0%","0%","17%","20%","21%","20%","19%","24%","0%","47%","0%"
"ac8813fd-3c4d-446a-87d4-23d33847f890","Poll Single Select","What is your age?","55+","25%","0%","0%","0%","0%","100%","7%","15%","11%","30%","0%","100%","23%","28%","0%","0%","27%","29%","20%","0%","0%","0%","0%","16%","26%","40%","22%","29%","100%","22%","25%","24%","30%","29%","0%","17%","27%","22%","24%","29%","31%","21%","32%","21%","50%","50%","0%","0%","25%","20%","29%","20%","30%","14%","0%","0%","100%"

"Question ID","Question Type","Question","Responses","All(222)","O1: 18-24 (17)","O1: 25-34 (51)","O1: 33-44 (52)","O1: 45-54 (46)","O1: 55+ (56)","O2: Asian (15)","O2: Black (34)","O2: Hispanic (9)","O2: White (159)","O2: Mixed (3)","O2: Other (2)","O3: Male (120)","O3: Female (100)","O3: Other (2)","O3: Prefer not to say (0)","O4: Democrat (98)","O4: Republican (62)","O4: Independant (61)","O4: Other (1)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (0)","O5: High school or GED (61)","O5: College / Bachelors degree (131)","O5: Masters/ PhD or equivalent (30)","O6: A lot (132)","O6: A little (89)","O6: Nothing at all (1)","O7: Almost every day (46)","O7: Once or twice a week (81)","O7: Once or twice a month (41)","O7: Only once or twice ever (30)","O7: Never (24)","O7: Do not know what an AI assistant is (0)","O8: Bad for humanity (47)","O8: Good for humanity (175)","O9: Mostly excited (76)","O9: Somewhat excited (49)","O9: Totally neutral (17)","O9: Somewhat concerned (52)","O9: Mostly concerned (28)","O10: Christian - Protestant (73)","O10: Christian - Catholic (34)","O10: Christian - Mormon (2)","O10: Jewish (8)","O10: Muslim (2)","O10: Hindu (1)","O10: Other (12)","O10: None - I do not identify with any religious group or faith (90)","Religious (132)","Not religious (90)","White (159)","Not white (63)","Under 34 (68)","33-54 (98)","55+ (56)"
"f0cb2e83-a981-4f46-99e2-7761e04a57ee","Poll Single Select","What is your ethnicity?","Asian","7%","18%","18%","4%","0%","2%","100%","0%","0%","0%","0%","0%","9%","4%","0%","0%","5%","8%","8%","0%","0%","0%","0%","5%","8%","3%","5%","9%","0%","9%","6%","2%","10%","8%","0%","11%","6%","7%","6%","12%","4%","11%","1%","9%","0%","0%","50%","100%","17%","8%","6%","8%","0%","24%","18%","2%","2%"
"f0cb2e83-a981-4f46-99e2-7761e04a57ee","Poll Single Select","What is your ethnicity?","Black","15%","18%","16%","10%","28%","9%","0%","100%","0%","0%","0%","0%","13%","18%","0%","0%","20%","8%","15%","0%","0%","0%","0%","10%","21%","3%","16%","15%","0%","11%","20%","15%","10%","17%","0%","17%","15%","14%","16%","18%","15%","14%","27%","18%","0%","0%","0%","0%","8%","8%","20%","8%","0%","54%","16%","18%","9%"
"f0cb2e83-a981-4f46-99e2-7761e04a57ee","Poll Single Select","What is your ethnicity?","Hispanic","4%","6%","8%","2%","4%","2%","0%","0%","100%","0%","0%","0%","4%","4%","0%","0%","4%","3%","5%","0%","0%","0%","0%","5%","3%","7%","5%","3%","0%","2%","4%","5%","7%","4%","0%","4%","4%","7%","4%","0%","0%","7%","4%","12%","0%","0%","0%","0%","0%","2%","5%","2%","0%","14%","7%","3%","2%"
