,A higher minimum wage may be challenging for small businesses to afford and could lead to closures.,Increasing the minimum wage will contribute to a reduction in income inequality and provide a basic standard of living for workers.,"Raising the minimum wage might accelerate the adoption of robotics and automation, potentially reducing job opportunities for unskilled or low-skilled workers.",The minimum wage should be at least $15 and perhaps even higher to ensure a livable wage.,A guaranteed minimum income might be a better approach to solving the systemic problem of income inequality.
215,-1,1,1,1,1
85,1,-1,1,-1,-1
33,-1,-1,-1,-1,1
14,-1,1,-1,-1,1
55,1,1,1,1,1
92,-1,1,1,1,1
56,1,-1,1,-1,1
52,1,-1,1,-1,1
63,-1,1,1,1,-1
6,1,-1,1,-1,-1
47,1,-1,1,-1,-1
12,1,-1,1,-1,1
110,1,1,1,1,1
28,-1,1,1,1,1
15,-1,1,1,1,1
96,1,-1,1,-1,-1
5989,-1,1,-1,1,1
